"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"R. Ichihara","Japan 2.","Imabari","LCB, RWB, RCB","27","0","2026-01-31","19","1264","1","1","Japan","unknown","184","8.19","5.2","63.01","6.62","62.37","0.43","6.61","0.64","0.07","0.08","0","0.36","40","20","1","35.71","0.43","33.33","1.99","21.43","0.71","0.5","0.14","27.98","72.77","13.17","62.7","4.91","60.87","0.03","0.07","0.07","0","0.28","4.98","70","1.42","30","0.21","7.9","63.96"
"M. Sekiguchi","Japan 2.","V-Varen Nagasaki","RB, RWB","27","500000","","22","1248","1","1","Japan","right","172","8.58","6.71","66.67","1.8","44","0.5","5.05","2.02","0.07","0.02","0","0.29","25","25","2.81","35.9","1.3","66.67","4.4","40.98","1.23","1.44","0.14","47.31","80.79","16.08","69.51","6.63","51.09","0.12","0","0.07","100","0.43","7.14","65.66","2.67","45.95","0.87","9.3","72.09"
"S. Nishiya","Japan 2.","Kataller Toyama","RB","24","0","","17","1248","0","0","Japan","unknown","173","6.49","5.12","67.61","3.75","42.31","0.14","3.22","2.24","0","0.04","0","0.43","33.33","0","2.96","46.34","1.08","66.67","3.39","46.81","0.58","0.65","0","31.01","75.35","9.52","60.61","3.61","34","0.08","0.07","0","0","0.58","3.97","56.36","2.52","62.86","0.43","7.07","70.41"
"Y. Nagao","Japan 2.","Mito Hollyhock","RCMF, LCMF","24","0","2026-01-31","23","1244","0","2","Japan","","178","7.38","5.5","53.95","2.24","32.26","0.36","5.21","0.8","0","0.05","0","1.45","5","0","1.09","33.33","0.72","30","2.75","36.84","0.72","0.29","0.07","42.47","82.62","13.46","66.67","5.86","50.62","0.04","0.07","0.22","66.67","0.29","7.09","67.35","2.75","60.53","1.09","7.67","74.53"
"N. Kase","Japan 2.","Iwaki","RWB, RB, RW","25","0","","29","1241","2","1","Japan","right","167","6.24","5.73","50.63","2.39","36.36","0","5.22","5.22","0.15","0.07","0.07","1.16","37.5","12.5","5.58","36.36","4.28","64.41","6.74","56.99","2.1","1.89","0.58","29.23","67","11.31","60.9","3.48","45.83","0.1","0.15","0","0","0.58","4.21","58.62","5.8","46.25","1.23","7.76","77.57"
"S. Tanimoto","Japan 2.","Ehime","LCMF, RCMF, LDMF","24","0","2026-01-31","17","1239","1","1","Japan","unknown","0","8.86","5.45","70.67","1.96","22.22","0.15","6.81","1.02","0.07","0.04","0","1.16","25","6.25","0.94","23.08","1.02","50","4.07","41.07","0.36","1.31","0.15","46.2","80.03","17","63.25","6.46","43.82","0.16","0","0.07","0","0.15","9.23","59.06","2.69","40.54","0.87","7.92","65.14"
"D. Yamaguchi","Japan 2.","Iwaki","LWF, LW, AMF","27","0","","17","1216","0","3","Japan","right","175","8.81","5.92","78.75","8.88","45","0.44","6.23","1.85","0","0.11","0","0.74","40","0","1.18","25","1.92","65.38","6.51","31.82","2.52","1.04","0.22","27.98","71.43","9.92","55.22","2.15","41.38","0.11","0","0","0","0.37","3.63","51.02","2","59.26","1.26","4.07","69.09"
"K. Kumakura","Japan 2.","Ventforet Kofu","LWF, AMF, LW","23","0","","22","1215","1","2","Japan","right","171","5.56","5.41","60.27","1.93","38.46","0.15","2.61","3.19","0.07","0.12","0","0.96","53.85","7.692","1.41","47.37","3.63","55.1","7.63","38.83","1.85","2","0.3","20.89","75.53","5.7","55.84","1.48","35","0.08","0","0","0","0.3","2.44","57.58","1.41","73.68","0.67","3.33","68.89"
"A. Toyoda","Japan 2.","Roasso Kumamoto","RWB, RCMF, LCMF","24","0","","21","1214","0","0","Japan","","171","7.04","4.97","70.15","1.48","45","0.22","4.82","2","0","0.03","0","0.52","28.57","0","2.37","34.38","2","51.85","6.82","32.61","1.04","0.74","0","48.86","84.83","15.57","74.76","4.67","50.79","0.11","0.07","0","0","0.3","8.15","69.09","3.71","52","1.19","8.23","85.59"
"S. Saito","Japan 2.","Mito Hollyhock","LW, RW, CF","20","0","2027-01-31","21","1209","7","0","Japan","unknown","173","6.63","5.43","64.38","2.68","22.22","0.15","3.33","4.17","0.52","0.23","0","2.08","46.43","25","2.61","48.57","3.42","54.35","8.11","37.61","2.46","2.31","0.89","24.12","74.69","5.51","60.81","1.79","41.67","0.06","0","0.07","100","0.3","1.71","47.83","2.46","63.64","0.74","3.35","64.44"
