"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"S. Hogan","England 4.","Milton Keynes Dons","CF, AMF","33","600000","2026-06-30","14","407","1","1.23","0","0","England","right","180","no","1.99","1.55","57.14","9.73","29.55","0","1.72","0.22","0.27","0","6","1.33","66.67","16.667","1.99","11.11","0.88","75","5.09","39.13","3.54","0.22","0.22","8.4","57.89","0.66","33.33","0.22","0","0","0","0","0.22","100","0.66","0","0","0.22","100","","","0","0","","",""
"J. Gordon","England 4.","Colchester United","RAMF, RW","23","200000","2026-06-30","14","407","0","0.38","1","0.26","England","right","181","no","6.19","8.62","51.28","4.64","42.86","0","2.73","0","0.08","0","1","0.22","0","0","4.2","36.84","5.97","48.15","11.72","45.28","1.33","2.43","0.22","21.01","69.47","3.54","31.25","1.11","20","0.06","0","0.44","1.11","60","3.32","60","0.88","4.2","52.63","","","0","0","","",""
"L. Maguire","England 4.","Milton Keynes Dons","LCB","28","100000","","7","406","1","0.72","0","0.02","England","left","178","no","8.42","3.99","72.22","11.75","71.7","0.44","8.28","0.22","0.16","0.22","5","1.11","40","20","0.22","0","0","0","1.55","42.86","2","0.22","0","32.81","81.76","16.4","74.32","3.77","35.29","0","0","0","5.1","65.22","0","0","0.22","7.32","75.76","","","0","0","","",""
"M. Kacurri","England 4.","Grimsby Town","RCB","20","0","2027-06-30","4","406","0","0.27","0","0","England","right","0","no","8.42","5.76","88.46","5.76","46.15","0.22","5","0","0.06","0","1","0.22","0","0","0","0","0.22","100","1.55","71.43","0.44","0.67","0","33.25","76","18.62","60.71","6.65","33.33","0","0","0","7.32","45.45","0.44","50","0.44","7.09","68.75","","","0","0","","",""
"J. Smith","England 4.","Gillingham","RAMF, LAMF, AMF","28","225000","","9","403","1","0.51","0","0.61","England","left","178","yes","2.23","1.79","87.5","1.12","40","0","1.1","0.22","0.11","0","12","2.68","25","8.333","5.58","20","4.91","68.18","7.15","56.25","2.9","2.68","0.45","22.56","63.37","4.47","60","1.56","42.86","0.14","0","0.89","2.68","50","5.14","43.48","0.89","4.02","83.33","","","0","0","","",""
"T. Samuel-Ogunsuyi","England 4.","Shrewsbury Town","CF","19","0","2026-06-30","8","394","0","0.31","0","0.07","England","","0","yes","7.31","6.62","68.97","13.02","35.09","0.46","3.33","0","0.07","0","4","0.91","0","0","0","0","0.91","50","8.22","27.78","1.37","1.14","0.23","11.88","84.62","1.83","75","0.23","100","0.02","0","0.46","1.14","80","0","0","0.23","0.91","100","","","0","0","","",""
"A. Charlie Dorrington","England 4.","Salford City","RCB, CB","20","500000","2029-06-30","5","392","0","0.14","0","0.34","England","right","0","yes","6.2","4.36","63.16","6.43","57.14","0","5.06","0","0.03","0","5","1.15","20","0","0","0","0.92","25","2.07","22.22","1.61","0","0","22.5","69.39","10.79","55.32","5.74","32","0.08","0","0","4.36","57.89","0.92","50","0.46","5.97","61.54","","","0","0","","",""
"W. Tamen","England 4.","Tranmere Rovers","RCB, CB","19","0","2027-06-30","4","390","0","0.3","0","0","England","","0","yes","12.69","8.77","76.32","9","71.79","0.92","8.31","0","0.07","0","4","0.92","0","0","0.23","0","0.46","50","1.85","37.5","2.08","0","0","19.38","70.24","10.15","70.45","2.77","75","0","0","0","2.08","77.78","0.23","0","0","6.23","44.44","","","0","0","","",""
"K. Jameson","England 4.","Morecambe","LCB","27","100000","","5","385","0","0","0","0.12","England","right","183","no","10.05","5.38","56.52","7.71","66.67","0.94","9.56","0","0","0","0","0","0","0","0","0","1.4","50","4.68","45","0.23","1.4","0","25.95","63.96","16.13","52.17","6.08","34.62","0.03","0","0","6.08","53.85","0.94","0","0.23","7.71","42.42","","","0","0","","",""
"C. Kavanagh","England 4.","Oldham Athletic","CF, AMF","22","225000","2028-06-30","5","383","1","2.18","0","0.27","Republic of Ireland","right","183","no","4.7","4.46","63.16","3.99","17.65","0","2.4","0.23","0.51","0","12","2.82","66.67","8.333","0.23","100","1.88","12.5","6.81","17.24","4.46","0.94","0","19.27","68.29","3.99","64.71","1.17","60","0.06","0","0.23","1.88","62.5","1.41","50","0.94","3.05","69.23","","","0","0","","",""
