"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"J. Ribič","Slovenia 1.","Rudar","GK","25","0","","11","1040","0","0","0","0","Slovenia","right","195","no","1.47","0.17","0","0.69","100","0.09","2.06","0","0","0","0","0","0","0","0","0","0","0","0.09","100","0","0","0","12.98","72.67","7.79","61.11","4.85","39.29","0","0","0","1.56","38.89","0.17","0","0.09","2.86","57.58","1.47","4.67","68.52","1.69","2.51","0.217","2.34"
"O. Casagrande","Slovenia 1.","Jesenice","GK","18","0","","11","1037","0","0","0","0","Slovenia","unknown","0","no","1.48","0","0","0.43","100","0","1.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.87","79.04","11.2","65.89","8.51","55.1","0","0","0","2.17","24","0.43","0","0","5.38","61.29","1.74","5.38","67.74","2.11","4.28","0.371","1.13"
"D. Tiganj","Slovenia 1.","Rudar","GK","23","0","","11","1037","0","0","0","0","Slovenia","right","195","no","2.69","0.17","100","0.69","75","0","3.37","0","0","0","0","0","0","0","0","0","0","0","0.26","100","0","0","0","22.83","84.79","12.24","79.43","8.51","66.33","0","0","0","1.91","45.45","0.17","0","0","6.6","72.37","2.34","6.42","63.51","2.09","-2.94","-0.255","2.86"
"M. Samardžić","Slovenia 1.","Jesenice","RCB","39","0","","12","1035","1","0.4","0","0.03","Slovenia","right","187","no","9.48","4.35","70","2.78","53.13","1.22","8.09","0.09","0.03","0.09","5","0.43","40","20","0.17","50","0","0","1.65","63.16","0.43","0.35","0","32.17","85.14","13.3","76.47","7.04","60.49","0","0","0","3.74","72.09","0.7","37.5","0.17","6.52","64","","","0","0","","",""
"A. Ndoye","Slovenia 1.","Krško","CF","25","0","","16","1035","2","3.61","1","0.38","Senegal","unknown","0","no","5.04","3.48","55","15.57","50.84","0.17","3","0.17","0.31","0","20","1.74","50","10","1.22","21.43","2.43","60.71","11.48","37.88","1.91","1.3","0.09","16.09","57.84","4.7","44.44","0.87","50","0.03","0.35","0.17","2.26","38.46","1.48","35.29","0.43","2.43","46.43","","","0","0","","",""
"A. Zlatkov","Slovenia 1.","Brinje-Grosuplje","RCMF, DMF, LCMF","24","125000","","11","1034","1","0.38","1","0.47","Slovenia","right","183","no","7.57","6.09","65.71","3.48","47.5","0.17","5.41","0.09","0.03","0","6","0.52","33.33","16.667","0.26","100","0.26","33.33","3.57","43.9","0.44","0.96","0.09","48.31","91.53","14.54","83.83","2.7","58.06","0.04","0.09","0.17","7.49","79.07","1.48","52.94","0.35","7.31","84.52","","","0","0","","",""
"U. Trobec","Slovenia 1.","Tabor Sežana","GK","21","0","","11","1034","0","0","0","0","Slovenia","right","185","no","2.61","0","0","0.44","60","0","4.29","0","0","0","0","0","0","0","0","0","0","0","0.09","100","0","0","0","23.15","86.47","12.36","77.46","8.18","62.77","0","0","0","1.22","57.14","0","0","0","5.74","66.67","0.87","2.87","69.7","0.72","-1.68","-0.146","1.22"
"Henrique Caivano","Slovenia 1.","Krško","RCMF, LCMF","24","0","","14","1020","2","0.84","1","1.1","Brazil","right","0","no","10.41","8.38","52.63","1.94","36.36","0.71","5.45","0.18","0.07","0","13","1.15","23.08","15.385","0.62","14.29","0.88","70","3.97","48.89","0.71","0.88","0.09","30.79","77.08","12.44","65.96","5.74","56.92","0.1","0.18","0.26","6.53","64.86","1.76","40","0.79","7.76","72.73","","","0","0","","",""
"N. Doplihar","Slovenia 1.","Bilje","DMF, LCMF, RCMF","32","0","","18","1013","0","0.26","0","0.48","Slovenia","right","0","no","8.08","7.29","62.2","1.78","50","0.09","3.99","0","0.02","0","3","0.27","33.33","0","0.09","100","0.09","0","3.73","40.48","0.27","0.44","0","35.8","83.13","11.73","66.67","4.09","45.65","0.04","0.09","0.27","5.51","64.52","0.62","42.86","0.18","4.8","75.93","","","0","0","","",""
"T. Goga","Slovenia 1.","Gorica","RCMF, RDMF, LAMF","18","0","","18","1004","0","0.44","0","0.36","Slovenia","unknown","0","no","7.17","6.36","61.97","2.24","28","0.27","3.6","0","0.04","0","14","1.25","14.29","0","1.88","19.05","2.42","59.26","7.71","51.16","1.08","1.17","0.27","22.5","61.75","8.34","46.24","2.24","32","0.03","0","0","3.68","51.22","1.61","33.33","0.36","4.03","46.67","","","0","0","","",""
"M. Ogwuche","Slovenia 1.","Nafta","RCMF","21","0","","17","1002","1","0.48","1","0.07","Nigeria","unknown","185","no","10.51","8.62","67.71","2.87","50","0.54","5.69","0.09","0.04","0","6","0.54","50","16.667","2.16","16.67","0.45","40","4.94","32.73","1.08","0.9","0","27.31","77.63","6.74","64","1.8","45","0.01","0","0.09","2.78","58.06","1.98","31.82","0.36","3.05","64.71","","","0","0","","",""
"R. Mavra","Slovenia 1.","Jesenice","LW, LAMF, LCMF","20","0","","18","996","3","1.33","0","0.37","Slovenia","unknown","0","no","9.49","8.31","67.39","3.52","30.77","0.09","3.76","0.27","0.12","0","19","1.72","42.11","15.789","0.81","11.11","3.07","44.12","9.67","33.64","1.08","1.45","0.18","22.41","69.76","7.14","59.49","2.44","25.93","0.03","0","0.09","2.8","48.39","1.27","42.86","0.36","4.25","61.7","","","0","0","","",""
"A. Borovnik","Slovenia 1.","Bistrica","RB, RAMF","23","0","","12","987","1","0.91","1","1.04","Slovenia","right","0","no","10.76","9.94","66.06","3.74","39.02","0.09","5.48","0.09","0.08","0","8","0.73","25","12.5","3.19","37.14","3.1","73.53","6.2","61.76","1.73","1.55","0.27","30","67.78","14.04","59.09","2.92","40.63","0.1","0.09","0.36","4.83","45.28","2.64","41.38","0.64","6.66","61.64","","","0","0","","",""
"M. Koprivc","Slovenia 1.","Dravinja","CF","22","0","","14","983","5","3.73","2","0.89","Slovenia","unknown","0","no","2.75","1.46","56.25","6.23","22.06","0.27","2.13","0.46","0.34","0","13","1.19","69.23","38.462","0.82","33.33","0.73","50","5.77","28.57","2.84","0.64","0","14.83","65.43","3.85","59.52","1.37","20","0.08","0.09","0.37","1.74","42.11","0.27","100","0.55","1.37","80","","","0","0","","",""
"E. Velić","Slovenia 1.","Jesenice","AMF, LB","26","0","","16","978","0","0.07","3","0.45","Slovenia","left","0","no","9.2","8.93","61.86","3.68","25","0.09","4.36","0","0.01","0","3","0.28","33.33","0","1.93","28.57","2.3","68","9.57","48.08","0.74","0.64","0","33.04","71.31","11.96","55.38","4.79","42.31","0.04","0.28","0.37","6.17","44.78","2.12","43.48","0.28","5.89","65.63","","","0","0","","",""
"T. Kavčič","Slovenia 1.","Bilje","LCB, CB, RCB","32","0","","12","974","1","0.81","0","0.02","Slovenia","right","185","no","8.13","4.8","63.46","3.88","50","1.29","6.11","0.09","0.08","0.09","6","0.55","33.33","16.667","0","0","0.09","0","0.74","37.5","0.83","0.37","0","34.65","81.87","15.62","68.64","7.58","48.78","0","0","0","3.7","57.5","0.55","33.33","0.28","7.11","64.94","","","0","0","","",""
"S. Radosavljević","Slovenia 1.","Triglav","RCB","19","0","","13","973","0","0.45","0","0.03","Slovenia","unknown","0","no","7.77","5.55","68.33","3.05","75.76","0.74","5.97","0","0.04","0","6","0.55","16.67","0","0.46","0","0.28","66.67","1.11","50","0.83","1.2","0.09","55.5","86","26.45","80.77","7.77","60.71","0","0","0","8.69","80.85","1.11","33.33","0.37","13.78","75.84","","","0","0","","",""
"D. Drk","Slovenia 1.","Beltinci","AMF, LCMF","25","0","","19","972","5","3.55","1","1.75","Croatia","right","0","no","6.76","6.76","47.95","2.78","56.67","0.28","4.9","0.46","0.33","0","23","2.13","39.13","21.739","1.3","21.43","2.31","68","8.06","41.38","2.59","1.11","0.09","32.78","77.4","9.91","62.62","3.43","35.14","0.16","0.09","0.28","5.46","59.32","1.76","63.16","0.74","5.37","68.97","","","0","0","","",""
"M. Žlibanović","Slovenia 1.","Ilirija","RB","21","0","2026-06-30","12","969","0","0.16","0","1.62","Croatia","right","180","no","8.73","9.2","65.66","2.79","40","0.09","3.68","0","0.01","0","5","0.46","40","0","4.27","39.13","1.3","78.57","4.92","60.38","0.46","1.49","0.46","34.55","71.51","14.02","63.58","4.55","57.14","0.15","0.09","0.65","6.32","64.71","3.99","44.19","0.28","9.38","72.28","","","0","0","","",""
"S. Kladar","Slovenia 1.","Bilje","CB, LCB","32","0","","11","955","1","1.55","1","0.02","Bosnia and Herzegovina","right","202","no","12.06","3.49","70.27","7.73","75.61","1.32","11.51","0.09","0.15","0.09","13","1.23","30.77","7.692","0.38","50","0.19","0","1.13","25","1.13","0.85","0","36.94","77.04","18.09","64.58","7.63","39.51","0","0","0.09","5.56","40.68","1.32","42.86","0.38","8.39","58.43","","","0","0","","",""
"D. Justinek","Slovenia 1.","Ilirija","LAMF, LW, AMF","22","0","","18","954","1","3.69","1","0.25","Slovenia","right","0","no","8.21","7.74","62.2","3.4","41.67","0","4.25","0.09","0.35","0","24","2.26","20.83","4.167","1.51","25","6.51","56.52","16.04","38.82","3.4","3.21","0.38","25.19","73.03","7.08","68","2.26","37.5","0.02","0.09","0.28","2.45","61.54","2.08","45.45","0.94","2.74","68.97","","","0","0","","",""
"N. Klašnja","Slovenia 1.","Brinje-Grosuplje","LCB, RCB, RB","21","0","","14","952","0","0.09","0","0.05","Slovenia","right","183","no","5.77","4.63","46.94","4.92","53.85","0.28","6.32","0","0.01","0","1","0.09","0","0","0","0","0.09","100","2.08","59.09","0","0.57","0","53.41","90.97","20.51","80.65","4.07","46.51","0.01","0","0","6.52","69.57","0.47","40","0.28","7.37","85.9","","","0","0","","",""
"A. Kmetic","Slovenia 1.","Ilirija","CF, AMF","26","0","","14","951","3","4.79","1","1.32","Slovenia","unknown","0","no","6.53","5.96","65.08","5.87","38.71","0.19","3.42","0.28","0.45","0","40","3.79","40","7.5","1.7","38.89","5.39","35.09","15.9","30.95","6.25","2.27","0.38","28.86","73.11","9.27","60.2","1.89","50","0.13","0.38","0.47","4.07","62.79","2.65","42.86","1.61","3.6","73.68","","","0","0","","",""
"M. Oršolić","Slovenia 1.","Jesenice","LCB","28","50000","2026-06-30","10","943","1","1.19","0","0.37","Croatia","right","190","no","13.46","7.35","70.13","5.25","58.18","0.76","9.75","0.1","0.11","0","5","0.48","20","20","0.1","0","0.19","50","2.1","54.55","0.95","0.76","0.29","43.04","79.38","20.42","67.29","9.35","52.04","0.04","0","0","5.44","57.89","0.48","0","0.29","9.26","55.67","","","0","0","","",""
"T. Štricelj","Slovenia 1.","Ilirija","LDMF, LCMF, DMF","21","0","","16","925","0","0.12","0","0.86","Slovenia","right","0","no","9.73","8.66","58.43","2.34","50","0.19","6.7","0","0.01","0","5","0.49","0","0","0.88","22.22","0.58","66.67","4.09","40.48","0.29","0.58","0.1","52.54","79.26","18.39","62.43","7.59","48.72","0.08","0.1","0.29","9.83","63.37","2.53","46.15","0.97","9.34","69.79","","","0","0","","",""
"L. Hribar","Slovenia 1.","Ilirija","RB, LB, RW","20","0","","10","924","0","0.5","0","0.07","Slovenia","right","0","no","9.35","6.33","63.08","1.66","35.29","0.1","6.94","0","0.05","0","7","0.68","14.29","0","2.14","22.73","1.46","60","4.77","34.69","0.68","1.36","0.19","38.28","70.99","15.68","56.52","5.36","38.18","0.01","0.19","0.1","4.97","50.98","2.24","30.43","0.39","9.45","48.45","","","0","0","","",""
