"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"A. Magashy","Sweden 1.","Kalmar","AMF, DMF, RCMF","27","350000","2026-12-31","25","1162","1","1.89","0","1.01","Nigeria","right","171","7.98","8.06","52.88","1.78","30.43","0.15","4.21","0.08","0.15","0.08","11","0.85","63.64","9.091","0.46","50","2.71","37.14","9.91","32.03","1.47","2.17","0.46","32.45","84.01","7.44","67.71","1.78","52.17","0.08","0.08","0.23","2.71","82.86","1.63","66.67","0.85","3.56","52.17","","","0","0","","",""
"D. Beširović","Sweden 1.","AIK","CF, LCMF, RCMF","31","450000","2027-12-31","20","1158","4","1.99","0","0.87","Portugal","right","180","7.54","7.38","51.58","3.26","42.86","0","4.27","0.31","0.16","0.16","17","1.32","41.18","23.529","1.79","26.09","1.94","44","6.37","36.59","2.49","0.54","0.23","32.8","83.89","8.63","74.77","2.8","52.78","0.07","0.16","0.16","3.89","84","2.02","34.62","0.54","3.65","76.6","","","0","0","","",""
"M. Bundgaard Sørensen","Sweden 1.","Elfsborg","GK","24","500000","2028-06-30","12","1150","0","0","0","0","Denmark","right","197","1.33","0","0","0.47","100","0","1.4","0","0","0","0","0","0","0","0","0","0","0","0.08","0","0","0","0","25.75","82.07","15.26","71.28","12.83","66.46","0","0","0","4.62","55.93","0.08","0","0.08","8.92","82.46","1.02","3.44","70.45","0.92","-1.19","-0.093","2.43"
"Í. Sigurgeirsson","Sweden 1.","IFK Norrköping","LW, LAMF, CF","22","350000","2026-12-31","20","1149","4","3.31","0","1.14","Iceland","right","175","4.7","4.54","46.55","1.64","38.1","0.23","3.23","0.31","0.26","0","20","1.57","50","20","2.27","20.69","4.46","54.39","10.42","38.35","4.54","2.35","0.16","19.82","78.26","4.07","73.08","0.55","28.57","0.09","0.39","0.23","1.02","69.23","1.72","63.64","1.1","2.19","60.71","","","0","0","","",""
"D. Cornelius","Sweden 1.","Malmö FF","LCB","28","2800000","2028-06-30","12","1146","2","1.41","0","0.19","Canada","left","187","10.37","5.5","72.86","4.63","64.41","0.79","8.75","0.16","0.11","0.16","12","0.94","41.67","16.667","0","0","0.94","75","2.43","77.42","1.18","0.55","0.08","66.44","94.09","25.84","89.36","3.3","61.9","0.02","0","0","3.61","78.26","0.08","0","0.08","7.93","72.28","","","0","0","","",""
"A. Johansson","Sweden 1.","Mjällby","CF, LWF","30","400000","","29","1144","1","3.01","2","2.24","Sweden","left","189","5.51","4.8","44.26","2.12","29.63","0.16","4.04","0.08","0.24","0","25","1.97","24","4","2.36","30","2.99","50","8.58","36.7","2.52","1.57","0.39","22.89","73.2","7.08","64.44","2.28","51.72","0.18","0.08","0.24","2.67","47.06","2.2","46.43","0.55","4.09","69.23","","","0","0","","",""
"A. Gersbach","Sweden 1.","Kalmar","LB, LWB","28","350000","2027-06-30","19","1140","0","0.21","2","0.88","Australia","left","183","8.45","6","71.05","2.45","38.71","0.16","4.51","0","0.02","0","5","0.39","40","0","3.39","32.56","0.87","54.55","3.39","46.51","0.71","2.53","0.87","45.79","75.52","17.37","61.36","4.18","33.96","0.07","0.08","0.32","4.42","35.71","3.32","47.62","0.55","9.16","62.07","","","0","0","","",""
"J. Agbonifo","Sweden 1.","Häcken","RWF, RAMF, RW","20","0","2028-06-30","13","1138","2","1.96","1","0.9","Sweden","left","178","5.06","5.93","64","1.5","36.84","0","1.75","0.16","0.16","0","24","1.9","25","8.333","1.9","12.5","6.8","48.84","13.84","38.86","3.95","3.16","0.08","17.95","73.57","3.48","56.82","0.79","30","0.07","0.16","0.16","0.95","66.67","1.98","44","1.66","2.06","65.38","","","0","0","","",""
"A. Milošević","Sweden 1.","AIK","RCB, CB","33","600000","","15","1134","0","0.19","0","0.09","Sweden","right","192","7.94","4.37","76.36","6.83","56.98","0.48","5.93","0","0.02","0","3","0.24","0","0","0.16","0","0.16","0","0.79","50","0.79","0.71","0.08","47.94","88.58","20.56","78.38","6.35","57.5","0.01","0","0.08","6.35","73.75","0.48","16.67","0.24","7.14","75.56","","","0","0","","",""
"D. Eid","Sweden 1.","IFK Norrköping","RB","27","700000","2027-07-31","12","1130","0","0.79","0","0.88","Norway","right","183","8.12","7.09","62.92","2.39","50","0.32","4.33","0","0.06","0","10","0.8","30","0","3.11","25.64","0.56","71.43","2.95","45.95","1.35","1.59","0.24","47.07","76.82","21.98","67.03","5.58","45.71","0.07","0.32","0.32","6.29","65.82","2.95","29.73","0.24","11.79","66.89","","","0","0","","",""
