"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"L. Godoy","Brazil 1.","Athletico Paranaense","RB","30","3800000","2028-12-31","26","1816","1","0.36","1","1.26","Argentina","right","173","7.04","5.8","56.41","2.23","42.22","0.4","4.17","0.05","0.02","0","8","0.4","25","12.5","2.68","38.89","1.29","46.15","2.87","34.48","1.29","0.79","0.15","29.34","78.21","11.45","72.29","4.91","61.62","0.06","0.2","0.35","4.26","67.44","2.68","50","0.5","6.69","78.52","","","0","0","","",""
"Tchê Tchê","Brazil 1.","Botafogo","LCMF, LW, AMF","33","1800000","2026-12-31","28","1798","0","0.5","0","1.41","Brazil","right","175","4.1","3.6","63.89","1.2","16.67","0","2.4","0","0.02","0","17","0.85","29.41","0","0.85","23.53","1.2","41.67","4.76","30.53","0.55","1.1","0.25","37.94","90.63","11.06","83.26","3.95","65.82","0.07","0.15","0.25","7.11","83.1","1.4","42.86","0.4","5.66","90.27","","","0","0","","",""
"G. Cano","Brazil 1.","Fluminense","CF","37","1400000","2026-12-31","27","1790","4","4.48","0","1.1","Argentina","right","177","1.56","1.66","57.58","2.06","29.27","0.1","0.82","0.2","0.23","0.1","35","1.76","54.29","11.429","0.55","45.45","0.8","50","3.22","20.31","2.31","0.1","0","14.38","80.42","2.36","68.09","1.16","65.22","0.06","0.05","0.2","1.31","76.92","0.35","85.71","0.35","2.16","55.81","","","0","0","","",""
"Bruno Tubarão","Brazil 1.","Atlético GO","RB","30","500000","","23","1788","0","0.86","0","1.18","Brazil","right","180","6.64","5.89","60.68","2.42","50","0.2","3.68","0","0.04","0","15","0.76","40","0","3.67","46.58","2.52","60","5.29","46.67","0.4","2.21","0.3","41.28","82.2","16.61","73.64","4.38","49.43","0.06","0.05","0.5","6.59","81.68","3.02","53.33","0.15","8.96","76.4","","","0","0","","",""
"David","Brazil 1.","Vasco da Gama","LAMF, LW, LWF","30","2000000","2027-12-31","23","1783","4","2.32","2","2.03","Brazil","right","180","5.2","4.69","67.74","2.07","34.15","0.1","2.74","0.2","0.12","0","29","1.46","24.14","13.793","1.16","39.13","3.03","55","12.06","33.47","2.47","2.12","0.56","23.22","77.17","4.69","58.06","0.96","68.42","0.1","0.35","0.45","2.47","61.22","1.72","73.53","1.01","3.33","66.67","","","0","0","","",""
"Nikão","Brazil 1.","Athletico Paranaense","RAMF, RW, RWF","33","1000000","","26","1779","6","3.44","1","3.41","Brazil","left","174","3.79","3.59","61.97","2.83","41.07","0.1","1.96","0.3","0.17","0.05","51","2.58","33.33","11.765","1.92","42.11","2.02","45","9.81","32.99","2.63","1.32","0.15","34.1","83.83","6.83","71.11","3.95","82.05","0.17","0.15","0.46","4.3","84.71","2.78","52.73","1.16","5.67","82.14","","","0","0","","",""
"Alisson","Brazil 1.","São Paulo","RDMF, RCMF, LDMF","32","2000000","2027-12-31","21","1778","1","0.48","2","0.67","Brazil","right","174","6.99","5.77","59.65","1.27","44","0.1","4.25","0.05","0.02","0","12","0.61","41.67","8.333","0.81","31.25","1.27","64","5.52","50.46","0.25","1.27","0.05","62.72","92.57","15.49","84.64","6.58","73.85","0.03","0.1","0.3","9.72","84.38","1.52","53.33","0.46","7.59","86","","","0","0","","",""
"André Silva","Brazil 1.","São Paulo","CF","28","3500000","2027-12-31","30","1766","7","3.62","2","0.61","Brazil","left","181","3.11","2.8","43.64","5.15","31.68","0","2.61","0.36","0.18","0.1","30","1.53","46.67","23.333","0.92","22.22","1.99","51.28","9.12","27.93","2.85","0.82","0.25","17.23","74.85","3.36","56.06","0.92","44.44","0.03","0.31","0.46","1.43","60.71","1.38","55.56","0.92","1.78","57.14","","","0","0","","",""
"Mycael","Brazil 1.","Athletico Paranaense","GK","21","0","2027-12-31","19","1766","0","0","0","0","Brazil","left","190","0.87","0","0","0.15","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0.05","0","0","0","0","11.36","79.37","6.83","70.15","5.2","60.78","0","0","0","1.58","51.61","0.05","0","0","4.13","67.9","1.07","4.48","76.14","1.15","1.57","0.08","1.07"
"Luiz Araújo","Brazil 1.","Flamengo","RAMF, RW, AMF","29","4000000","2027-12-31","25","1762","4","2.64","5","4.32","Brazil","left","175","7.66","5.87","60.87","1.48","27.59","0.15","4.64","0.2","0.13","0","48","2.45","35.42","8.333","2.4","29.79","4.6","66.67","10.06","47.72","2.55","2.45","0.56","30.03","77.72","6.95","66.18","2.96","65.52","0.22","0.26","0.51","2.76","68.52","2.81","45.45","0.97","4.04","72.15","","","0","0","","",""
"Gabriel Veron","Brazil 1.","Cruzeiro","RWF","23","7000000","2027-06-30","27","1762","6","4.44","1","1.83","Brazil","right","176","5.11","4.8","54.26","1.63","31.25","0.05","3.2","0.31","0.23","0","23","1.17","43.48","26.087","0.87","23.53","1.79","45.71","5.06","29.29","2.4","1.07","0.2","18.85","78.05","3.78","64.86","0.66","46.15","0.09","0.2","0.36","1.53","56.67","1.33","57.69","1.02","2.25","77.27","","","0","0","","",""
"Matheusinho","Brazil 1.","Criciúma","AMF, RW, LCMF","27","1300000","","28","1757","5","4.58","2","1.81","Brazil","right","164","4.71","4.92","53.13","1.69","21.21","0","2.53","0.26","0.23","0.05","33","1.69","30.3","15.152","2.46","58.33","3.18","40.32","11.17","31.65","2","1.18","0.31","32.99","77.95","10.04","63.27","4","53.85","0.09","0.36","0.61","4.82","74.47","3.69","62.5","1.38","6.97","78.68","","","0","0","","",""
"Fernandinho","Brazil 1.","Athletico Paranaense","LDMF, LCMF, RCMF","40","400000","","25","1750","2","2.16","2","1.99","Brazil","right","179","5.71","5.09","56.57","2.06","62.5","0.15","3.47","0.05","0.11","0","17","0.87","58.82","11.765","0.93","38.89","1.75","61.76","4.94","48.96","0.77","2.01","0.1","47.01","84.57","18.51","75","6.27","57.38","0.1","0.36","0.46","13.01","72.73","3.6","48.57","1.54","10.18","88.38","","","0","0","","",""
"Luan Silva","Brazil 1.","Vitória","DMF, RCMF, RDMF","26","2000000","2026-12-31","25","1747","0","0.35","0","0.02","Brazil","right","175","6.08","4.48","57.47","2.22","53.49","0","3.94","0","0.02","0","14","0.72","21.43","0","0.15","0","0.41","50","2.68","32.69","0.31","0.1","0","33.18","88.51","9.12","74.58","2.78","57.41","0","0","0","3.55","73.91","0.41","37.5","0.15","3.81","64.86","","","0","0","","",""
"Maguinho","Brazil 1.","Atlético GO","RB","34","300000","","24","1744","0","0.82","1","1.62","Brazil","right","175","6.81","5.93","60","3.41","39.39","0.31","4.09","0","0.04","0","16","0.83","18.75","0","3.56","33.33","1.75","44.12","3.87","42.67","1.65","1.44","0.57","35.25","75.99","12.33","64.44","4.23","40.24","0.08","0","0.41","4.08","60.76","2.68","34.62","0.26","6.86","68.42","","","0","0","","",""
"Fernando","Brazil 1.","Internacional","LCB, RDMF, DMF","38","2000000","","24","1742","1","0.6","0","0.28","Brazil","right","183","7.75","4.6","58.43","3.05","64.41","0.26","6.96","0.05","0.03","0.05","9","0.46","22.22","11.111","0.05","100","0.15","33.33","1.45","25","0.57","1.6","0.1","48.15","93.03","12.55","85.6","1.91","62.16","0.01","0","0","5.58","87.04","0.31","50","0.26","5.42","80","","","0","0","","",""
