Player,League,Season,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Birth country,Passport countries,Foot,Height,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Shots blocked per 90,PAdj Interceptions,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals per 90,Shots against per 90,"Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90,Wyscout ID
Marcos Rocha,Brazil 1.,2026,Grêmio,"RB, RWB",37,600000,2026-12-31,5,177,0,0.01,0,0.06,Brazil,Brazil,right,176,no,5.59,3.56,42.86,3.56,28.57,0.0,5.45,0.0,0.01,0.0,1,0.51,0.0,0.0,2.03,50.0,0.51,100.0,3.56,57.14,1.02,2.54,0.0,44.24,77.01,25.93,66.67,6.61,23.08,0.03,0.0,0.51,8.64,52.94,4.07,50.0,1.02,11.69,65.22,,,0.0,0.0,,,,73083
Kevin Ramírez,Brazil 1.,2026,Chapecoense,"RW, LW, RAMF",32,700000,2026-12-31,4,174,0,0.88,0,0.0,Uruguay,Uruguay,left,179,yes,2.59,2.59,60.0,4.66,66.67,0.0,1.18,0.0,0.46,0.0,6,3.1,50.0,0.0,2.07,50.0,0.52,100.0,5.17,70.0,3.1,1.55,0.0,20.17,76.92,4.14,62.5,2.07,25.0,0.0,0.0,0.0,1.55,66.67,1.03,50.0,0.0,3.1,66.67,,,0.0,0.0,,,,329533
Fernando,Brazil 1.,2026,Chapecoense,LB,26,450000,2029-12-31,2,169,0,0.06,0,0.0,Brazil,Brazil,left,181,no,10.65,2.66,40.0,1.6,33.33,1.07,11.86,0.0,0.03,0.0,1,0.53,0.0,0.0,1.07,0.0,0.53,100.0,4.26,62.5,1.07,3.2,0.0,35.15,81.82,11.18,71.43,4.26,62.5,0.0,0.0,0.53,4.26,75.0,1.07,0.0,0.0,5.33,50.0,,,0.0,0.0,,,,-112908
Iago,Brazil 1.,2026,Bahia,LB,29,4000000,2028-12-31,4,164,0,0.01,0,0.87,Brazil,"Brazil, Italy",left,181,no,7.13,4.94,77.78,1.1,0.0,0.0,6.92,0.0,0.0,0.0,2,1.1,0.0,0.0,3.29,50.0,1.1,0.0,4.94,33.33,2.2,1.65,1.1,42.26,81.82,10.98,75.0,2.74,60.0,0.48,0.0,1.1,3.29,83.33,4.39,50.0,1.1,7.13,76.92,,,0.0,0.0,,,,472677
Marcos Victor,Brazil 1.,2026,Bahia,RCB,24,0,2027-12-31,4,163,0,0.0,0,0.0,Brazil,Brazil,right,184,no,11.6,3.87,71.43,1.1,0.0,2.21,12.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,25.0,0.0,0.0,0.0,45.28,86.59,19.88,75.0,5.52,50.0,0.0,0.0,0.0,2.76,100.0,0.0,0.0,0.0,8.28,53.33,,,0.0,0.0,,,,-258079
Gui Negão,Brazil 1.,2026,Corinthians,"CF, LW",19,0,2030-06-30,5,158,0,0.0,0,0.44,Brazil,Brazil,unknown,189,no,7.41,6.84,75.0,1.71,33.33,0.0,3.1,0.0,0.0,0.0,0,0.0,0.0,0.0,1.14,50.0,1.14,50.0,3.99,28.57,1.14,0.57,0.0,11.39,95.0,0.0,0.0,0.0,0.0,0.25,0.0,0.57,0.0,0.0,1.14,50.0,0.57,0.57,100.0,,,0.0,0.0,,,,-456920
Mateusinho,Brazil 1.,2026,Vitória,RB,27,0,2028-12-31,3,158,0,0.0,0,0.14,Brazil,Brazil,right,175,no,7.41,5.13,55.56,2.85,20.0,0.0,5.68,0.0,0.0,0.0,0,0.0,0.0,0.0,2.28,25.0,0.57,100.0,2.85,100.0,1.14,0.0,0.0,27.91,69.39,13.67,62.5,3.42,16.67,0.08,0.0,0.57,2.85,80.0,2.85,60.0,1.14,7.97,57.14,,,0.0,0.0,,,,-247190
Keno,Brazil 1.,2026,Coritiba,"LAMF, LW",36,800000,2026-12-31,6,156,0,0.57,0,0.0,Brazil,Brazil,right,178,yes,2.31,4.04,28.57,3.46,50.0,0.0,2.31,0.0,0.33,0.0,2,1.15,50.0,0.0,2.31,25.0,4.04,42.86,8.08,42.86,2.31,2.88,0.58,14.42,56.0,3.46,50.0,0.0,0.0,0.0,0.0,0.0,1.15,50.0,2.88,40.0,0.58,3.46,66.67,,,0.0,0.0,,,,282209
Luan Silva,Brazil 1.,2026,São Paulo,"LDMF, RCMF, DMF",27,2000000,2026-12-31,7,150,0,0.0,0,0.15,Brazil,Brazil,right,175,no,9.0,7.8,76.92,1.8,66.67,0.0,5.56,0.0,0.0,0.0,1,0.6,0.0,0.0,0.6,100.0,0.6,0.0,1.2,50.0,0.0,0.0,0.0,28.2,87.23,9.0,73.33,3.0,40.0,0.09,0.0,0.6,4.2,42.86,1.2,50.0,0.0,4.2,100.0,,,0.0,0.0,,,,499985
Saúl Ñíguez,Brazil 1.,2026,Flamengo,"LDMF, LCMF",31,7500000,2028-12-31,6,150,0,0.2,1,0.2,Spain,Spain,left,183,no,17.4,9.6,75.0,3.6,16.67,1.8,13.24,0.0,0.12,0.0,2,1.2,0.0,0.0,1.2,50.0,0.0,0.0,2.4,0.0,0.6,1.2,0.0,39.6,74.24,11.4,31.58,2.4,0.0,0.12,0.0,0.6,6.0,50.0,1.2,50.0,0.6,3.6,50.0,,,0.0,0.0,,,,151131
