"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"Zhong Haoran","China 1.","Meizhou Hakka","LCMF, LDMF","31","50000","2025-12-31","26","1932","1","0.64","1","1.73","China PR","right","183","8.99","6.48","60.43","2.33","40","0.42","5.25","0.65","0.05","0.03","0","0.61","15.38","7.692","0.56","33.33","0.42","66.67","2.93","42.86","0.61","0.7","0.05","35.45","84.36","13.7","74.83","4.38","60.64","0.08","0.09","0.05","6.38","73.72","1.58","41.18","0.61","5.4","74.14"
"Wang Shenchao","China 1.","Shanghai Port","RB, LB","36","75000","2025-12-31","28","1930","4","1.3","1","0.8","China PR","right","180","8.44","6.76","60","4.8","52.43","0.23","6.49","1.59","0.19","0.06","0.09","0.65","35.71","28.571","2.47","33.96","1.21","42.31","2.56","38.18","1.54","1.17","0.19","37.26","80.73","13.76","70.51","3.26","42.86","0.04","0","0.28","4.15","61.8","2.52","42.59","0.7","6.16","75"
"Wang Xianjun","China 1.","Tianjin Tigers","LCB","25","100000","2025-12-31","24","1930","0","0.42","0","0.02","China PR","left","185","7.27","4.99","61.68","2.66","49.12","0.33","5.68","0.47","0","0.02","0","0.28","66.67","0","0.51","27.27","0.14","100","1.31","46.43","0.23","0.84","0","40.06","77.65","18.05","62.53","9.09","41.54","0","0","0","5.5","52.54","1.03","27.27","0.09","9","56.99"
"M. Traoré","China 1.","Dalian Young Boy","RCB, LCB","31","900000","2026-12-31","21","1919","1","2.15","0","0.19","Mali","right","191","8.44","3.14","64.18","6.43","59.85","0.47","8.31","0.42","0.05","0.1","0.05","0.75","31.25","6.25","0.09","100","0.09","100","0.8","35.29","0.98","0.33","0.05","34.8","82.08","17.35","74.05","5.21","56.76","0.01","0.05","0.05","4.83","68.93","0.84","50","0.14","8.39","67.04"
"Wang Shiqin","China 1.","Zhejiang Professional","LCB, LWB, LB","22","0","2028-12-31","26","1916","0","0.04","0","0.44","China PR","unknown","0","6.48","6.62","63.12","1.64","34.29","0.14","2.97","0.56","0","0","0","0.14","0","0","1.08","26.09","0.75","37.5","3.24","37.68","0.14","0.7","0.05","48.66","83.3","22.27","73.21","5.82","41.94","0.02","0.05","0.05","6.11","63.08","1.36","27.59","0.09","9.77","65.87"
"Huang Jiahui","China 1.","Tianjin Tigers","LCMF, DMF, RCMF","25","100000","2026-12-31","27","1904","0","0.68","0","0.33","China PR","right","183","8.84","7.42","62.42","2.17","32.61","0.38","4.81","0.47","0","0.03","0","0.43","33.33","0","0.14","66.67","0.38","50","2.46","46.15","0.24","0.24","0.05","39.52","86.6","12.81","71.22","3.26","55.07","0.02","0.09","0.05","4.92","73.08","0.61","61.54","0.33","5.34","68.14"
"Hu Hetao","China 1.","Chengdu Rongcheng","RB","22","0","2027-02-28","21","1887","1","2.66","2","1.23","China PR","left","180","7.34","5.96","66.4","2.43","41.18","0.14","4.91","2.48","0.05","0.13","0","0.76","43.75","6.25","1.72","38.89","2.62","56.36","6.87","44.44","2.1","1.19","0.19","33.62","81.28","9.44","66.67","2.48","61.54","0.06","0.1","0.24","3.39","66.2","2.29","58.33","0.76","5.39","75.22"
"Jiang Zhipeng","China 1."," Shenzhen Peng City","LB, LWB","36","25000","2025-12-31","24","1880","0","0.66","4","3.58","China PR","left","178","7.66","7.23","57.62","1.15","41.67","0.05","4.22","3.16","0","0.03","0","0.53","18.18","0","3.3","34.78","2.97","62.9","7.04","57.14","0.48","2.35","0.19","33.56","69.61","13.84","62.28","6.65","59.71","0.17","0.14","0.67","6.03","64.29","3.73","60.26","1.1","10.39","69.12"
"Z. Labyad","China 1.","Dalian Young Boy","RW","32","700000","2025-12-31","23","1879","5","4.51","2","3.86","Netherlands","both","175","4.22","3.93","58.54","1.15","37.5","0.05","2.31","2.68","0.24","0.22","0","1.92","35","12.5","2.73","47.37","1.48","41.94","5.03","29.52","2.25","1.48","0.38","31.33","75.84","10.06","63.33","2.59","53.7","0.18","0.29","0.57","4.6","58.33","3.26","50","0.86","6.56","75.91"
"Song Long","China 1.","Qingdao Hainiu","LB, LWB","36","50000","2025-12-31","26","1870","0","0.47","1","0.39","China PR","left","180","7.56","4.28","57.3","2.5","55.77","0.19","6.47","1.35","0","0.02","0","0.24","40","0","2.21","28.26","0.82","76.47","2.26","70.21","0.53","0.87","0.1","39.47","77.68","16.12","67.76","5.92","51.22","0.02","0.1","0.14","5.44","75.22","2.26","38.3","0.58","9.53","70.2"
"Wei Shihao","China 1.","Chengdu Rongcheng","LW, LWF","30","800000","2026-02-20","24","1851","10","10.13","7","5.08","China PR","right","178","3.4","2.87","55.93","2.29","42.55","0.1","2.46","3.45","0.39","0.49","0.15","3.01","40.32","16.129","1.94","32.5","3.35","46.38","7.88","40.12","4.57","2.72","0.19","25.09","81.59","3.74","67.53","1.8","64.86","0.25","0.24","0.88","1.85","76.32","2.48","54.9","1.31","3.21","83.33"
"Gao Tianyi","China 1.","Shanghai Shenhua","RCMF, RAMF","27","450000","2026-12-31","28","1849","2","2.65","8","7.52","China PR","right","185","9","10.08","50.72","1.85","36.84","0.1","5.98","3.7","0.1","0.13","0.05","2.14","40.91","4.545","3.46","46.48","2.19","53.33","7.69","42.41","1.65","2.34","0.29","45.71","81.36","15.04","68.93","5.5","52.21","0.37","0.1","0.58","8.71","70.95","4.14","51.76","0.83","8.86","81.32"
"Song Yue","China 1.","Dalian Young Boy","LCB, CB","34","50000","2025-12-31","20","1841","0","0.07","0","0.6","China PR","left","185","9.88","6.01","73.17","2.84","56.9","0.24","6.97","0.54","0","0","0","0.1","50","0","0.59","58.33","0.24","60","1.42","48.28","0.15","0.2","0","37.98","86.49","15.59","77.43","5.08","58.65","0.03","0","0.2","3.18","69.23","0.93","52.63","0.1","8.26","68.64"
"Ji Jiabao","China 1."," Shenzhen Peng City","GK","23","0","2026-12-31","18","1834","0","0","0","0","China PR","","192","1.57","0.1","50","0.39","87.5","0","1.72","0","0","0","0","0","0","0","0","0","0","0","0.1","50","0","0","0","10.89","85.59","7.12","77.93","5.25","71.96","0","0","0","0.29","50","0","0","0","4.37","78.65"
"Li Songyi","China 1.","Yunnan Yukun","RCB, LCB","32","125000","2026-12-31","20","1833","1","0.99","1","0.15","China PR","right","187","7.17","5.35","55.96","4.17","56.47","0.44","5.28","0.2","0.05","0.05","0.05","0.29","33.33","16.667","0.15","0","0.1","100","0.49","50","0.54","0.88","0.05","29.41","82.64","12.18","69.76","6.53","57.89","0.01","0","0.05","5.89","65","1.42","37.93","0.59","6.43","74.05"
"Zhu Pengyu","China 1.","Dalian Young Boy","CF, LW","20","0","2027-12-31","29","1830","3","5.69","2","1.99","China PR","","189","5.36","4.48","58.24","8.26","32.14","0.2","3.17","1.97","0.15","0.28","0","1.62","45.45","9.091","0.64","23.08","2.11","51.16","8.21","38.32","2.95","1.52","0.39","15.34","76.92","4.03","71.95","0.98","55","0.1","0.05","0.34","2.31","68.09","0.84","64.71","0.79","2.26","80.43"
"Yue Tze Nam","China 1.","Meizhou Hakka","RB","27","350000","2025-12-31","19","1826","3","0.76","0","0.99","Hong Kong","right","172","6.75","5.22","61.32","1.33","33.33","0.2","4.35","1.38","0.15","0.04","0","1.18","37.5","12.5","0.94","42.11","1.23","40","5.18","41.9","0.79","1.18","0.44","34.06","81.19","14.49","72.45","3.25","40.91","0.05","0.1","0.39","5.37","65.14","2.02","48.78","0.39","6.51","75"
