"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"D. Matijaš","Belgium 2.","Beerschot VA","GK","26","800000","2028-06-30","30","2860","0","0","0","0","Croatia","right","188","no","2.52","0.09","66.67","0.47","80","0","4","0","0","0","0","0","0","0","0","0","0.09","100","0.28","88.89","0","0.03","0","23","86.87","10.86","75.36","4.72","52","0","0","0","1.13","36.11","0.09","0","0","3.9","57.26","0.91","3.37","72.9","1.09","5.69","0.179","1.32"
"L. Bossin","Belgium 2.","Oostende","GK","29","400000","2027-06-30","29","2850","0","0","0","0","Belgium","right","190","no","1.14","0.06","0","0.66","95.24","0","1.34","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0","0.06","0","15.35","88.07","8.49","80.67","6.76","75.7","0","0","0","0.85","62.96","0.03","100","0.06","5.65","76.54","1.2","4.74","74.67","1.47","8.48","0.268","1.58"
"B. Reus","Belgium 2.","SK Beveren","GK","24","0","2026-06-30","30","2839","0","0","0","0","Netherlands","left","198","no","1.33","0.22","42.86","0.25","87.5","0","1.66","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0","0","0","26.72","85.29","14.23","74.61","10.84","66.37","0","0","0","2.03","50","0.1","0","0","8.59","73.8","1.24","4.06","69.53","1.34","3.42","0.108","0.95"
"X. Gies","Belgium 2.","Dender","GK","29","500000","2027-06-30","29","2817","0","0","0","0.17","Belgium","right","182","no","1.47","0.13","50","0.32","90","0","1.79","0","0","0","0","0","0","0","0","0","0","0","0.03","100","0","0.03","0","14.95","81.84","10.26","74.45","7.22","64.6","0.01","0","0","1.34","42.86","0.06","0","0","5.4","78.11","1.02","3.42","70.09","1.06","1.1","0.035","1.21"
"J. Teunckens","Belgium 2.","Lierse Kempenzonen","GK","28","300000","2026-06-30","28","2740","0","0","0","0","Belgium","left","186","no","2.36","0.46","57.14","0.49","86.67","0","2.63","0","0","0","0","0","0","0","0","0","0","0","0.13","25","0","0","0","21.84","85.11","12.45","77.04","9.43","69.69","0","0","0","0.92","50","0.07","0","0","7.32","73.99","1.77","5.91","70","1.81","1.13","0.037","1.68"
"A. Saussez","Belgium 2.","Francs Borains","GK","34","0","2026-06-30","28","2563","0","0","0","0","Belgium","right","183","no","1.62","0.11","33.33","0.49","85.71","0","1.79","0","0","0","0","0","0","0","0","0","0","0","0.14","100","0","0","0","24.93","80","15.42","69.48","12.01","60.82","0","0","0","2.81","46.25","0.21","16.67","0.04","8.43","75.42","1.62","5.23","69.13","1.48","-3.96","-0.139","1.4"
"M. Penders","Belgium 2.","Genk II","GK","20","0","2032-06-30","25","2456","0","0.13","0","0.44","Belgium","left","200","yes","1.87","0.07","100","0.81","95.45","0","2.29","0","0","0","1","0.04","0","0","0","0","0","0","0.26","100","0.04","0","0","28.73","90.82","12.39","81.95","7.84","68.69","0.02","0","0.04","1.17","50","0.07","50","0.04","5.64","72.73","1.54","5.06","69.57","1.53","-0.14","-0.005","2.49"
"M. Epolo","Belgium 2.","Standard Liège II","GK","21","800000","2029-06-30","25","2449","0","0","0","0","Belgium","right","188","no","1.51","0.11","66.67","0.81","90.91","0","1.73","0","0","0","0","0","0","0","0","0","0.04","0","0.18","80","0","0","0","21.65","82.51","12.61","72.01","7.2","54.59","0","0","0","1.18","40.63","0.15","0","0","5.4","55.1","1.73","7.02","75.39","2.31","15.93","0.585","1.98"
"N. Shinton","Belgium 2.","Club Brugge II","GK","24","400000","2027-06-30","21","2037","0","0","0","0","Belgium","left","194","no","1.72","0.18","75","0.62","78.57","0","2.11","0","0","0","0","0","0","0","0","0","0.13","66.67","0.18","50","0","0","0","36.14","87.65","17.45","78.73","12.59","70.88","0","0","0","1.28","44.83","0.04","0","0","9.28","69.05","1.59","5.17","69.23","1.75","3.57","0.158","1.37"
"J. Belin","Belgium 2.","Patro Eisden","GK","30","250000","2026-06-30","17","1655","0","0","0","0","Belgium","left","185","no","2.18","0.11","0","0.38","100","0","2.34","0","0","0","0","0","0","0","0","0","0","0","0.05","100","0","0","0","15.23","85.71","10.06","78.92","8.7","76.25","0","0","0","1.85","73.53","0.11","0","0","7.5","83.33","0.98","3.1","68.42","1.04","1.13","0.061","1.41"
"O. De Wolf","Belgium 2.","Zulte-Waregem","GK","28","300000","2027-06-30","16","1552","0","0","0","0.31","Belgium","left","190","no","0.75","0.17","0","0.46","100","0","0.99","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0.06","0","0","15.72","89.3","9.1","84.08","6.2","75.7","0.02","0","0","1.1","42.11","0.06","0","0.06","4.7","85.19","1.04","3.94","73.53","1.06","0.36","0.021","1.22"
"L. Margueron","Belgium 2.","RFC Seraing","GK","25","150000","2028-06-30","15","1468","0","0.18","0","0","France","right","194","no","1.66","0.25","50","0.55","88.89","0","1.9","0","0.01","0","1","0.06","100","0","0","0","0","0","0.12","100","0.06","0","0","21.52","86.61","13.12","79.91","10.05","73.17","0","0","0","1.66","59.26","0.06","0","0","7.54","84.55","2.02","5.33","62.07","1.89","-2.16","-0.132","1.41"
"P. Sy","Belgium 2.","RFC Seraing","GK","28","0","2026-06-30","15","1380","0","0","0","0","Senegal","right","206","no","3.07","0.13","50","0.65","90","0","3.42","0","0","0","0","0","0","0","0","0","0","0","0.07","100","0","0","0","21.98","81.9","14.8","73.57","9.91","64.47","0","0","0","3.59","58.18","0.39","33.33","0.13","8.61","78.79","1.11","5.8","80.9","1.58","7.28","0.475","2.41"
"L. Bostyn","Belgium 2.","Zulte-Waregem","GK","32","225000","2026-06-30","14","1378","0","0","0","0","Belgium","right","195","no","1.5","0.07","0","0.52","87.5","0","2.02","0","0","0","0","0","0","0","0","0","0","0","0.07","100","0","0","0","17.5","80.22","11.56","70.62","8.95","64.23","0","0","0","3.13","56.25","0.13","50","0.07","6.92","77.36","1.11","5.03","77.92","1.6","7.48","0.489","1.31"
"J. Heekeren","Belgium 2.","Patro Eisden","GK","25","300000","2029-06-30","14","1368","0","0","0","0","Germany","right","196","no","2.37","0.46","71.43","0.59","77.78","0","2.24","0","0","0","0","0","0","0","0","0","0.07","100","0.26","100","0","0","0","17.83","85.24","12.3","79.68","11.25","77.19","0","0","0","3.03","60.87","0.13","0","0","9.21","88.57","0.99","3.36","70.59","0.81","-2.62","-0.172","1.58"
"T. Vanhoutte","Belgium 2.","Anderlecht II","GK","22","0","2027-06-30","13","1249","0","0","0","0","Belgium","right","189","no","1.8","0.07","100","0.5","85.71","0","2.22","0","0","0","0","0","0","0","0","0","0","0","0.14","100","0","0","0","22.84","87.7","13.91","82.9","7.21","64","0","0","0","1.08","66.67","0.14","50","0.07","5.33","67.57","1.59","5.26","69.86","1.43","-2.1","-0.151","1.3"
"C. Coosemans","Belgium 2.","Anderlecht II","GK","33","300000","2027-06-30","11","1042","0","0","0","0","Belgium","right","186","no","1.04","0","0","0.6","85.71","0","1.28","0","0","0","0","0","0","0","0","0","0","0","0.17","100","0","0","0","31.7","81.47","20.21","73.5","14.34","63.25","0","0","0","3.8","54.55","0.26","33.33","0.17","10.36","70.83","1.04","4.06","74.47","1.31","3.22","0.278","1.12"
