"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"J. Vuković","Turkey 2.","Sakaryaspor","DMF, RCMF, LCMF","33","350000","","7","625","0","0","Croatia","right","186","6.62","4.32","83.33","1.3","33.33","0.29","3.35","0.72","0","0.14","0","1.01","28.57","0","0.29","100","0.43","33.33","2.59","50","0.86","0.58","0","37.15","85.27","13.97","69.07","3.74","57.69","0","0","0","0","0.14","4.46","64.52","1.44","60","0.72","7.06","73.47"
"E. Akcan","Turkey 2.","Iğdır FK","RCMF, LCMF","23","175000","2026-06-30","10","625","0","2","Türkiye","","171","6.19","5.04","60","0.43","33.33","0.29","5.61","0.72","0","0.01","0","0.29","0","0","0.29","50","1.01","57.14","3.17","63.64","1.01","0.72","0","41.9","86.25","12.38","76.74","6.91","62.5","0.19","0","0.14","0","0.29","7.92","76.36","1.87","53.85","1.3","7.06","81.63"
"G. Sağlam","Turkey 2.","Hatayspor","RCMF, LCMF, AMF","27","0","2026-06-30","7","624","1","0","Germany","right","178","4.18","4.18","51.72","2.02","21.43","0.14","2.19","1.73","0.14","0.09","0","1.3","22.22","11.111","0.43","33.33","1.15","62.5","3.46","41.67","0.58","1.44","0.14","50.19","85.06","14.57","70.3","7.07","67.35","0.07","0.29","1.01","57.14","0","10.53","69.86","1.88","61.54","0.87","9.23","84.38"
"C. Demir","Turkey 2.","Hatayspor","LCB, CB","24","0","","7","613","0","0","Türkiye","left","186","8.81","4.85","66.67","2.79","42.11","0.15","7.95","0.59","0","0.06","0","0.44","33.33","0","1.03","28.57","0","0","0.59","25","1.03","0.88","0","45.22","86.04","19.23","77.1","6.46","52.27","0.05","0","0.15","100","0.29","6.17","66.67","1.17","37.5","0.15","8.81","86.67"
"F. Yazgan","Turkey 2.","Çorum FK","DMF","33","225000","2027-06-30","10","610","1","0","Germany","right","183","8.41","7.82","62.26","4.43","46.67","0.15","5.53","1.03","0.15","0.04","0.15","1.03","42.86","14.286","1.18","37.5","0.15","100","2.95","50","1.33","0.74","0","48.69","77.27","17.26","62.39","7.82","54.72","0.08","0","0.15","0","0","10.03","51.47","2.95","55","1.77","10.03","66.18"
"A. Regattin","Turkey 2.","Sarıyer","LAMF, LCMF, LW","34","250000","2026-06-30","7","608","2","0","France","right","168","4.59","2.37","87.5","2.37","25","0.15","3.15","3.7","0.3","0.37","0.15","1.78","58.33","16.667","2.37","37.5","2.81","63.16","7.85","45.28","2.37","1.33","0.15","36.86","83.53","9.33","80.95","3.55","70.83","0.14","0","0","0","0.3","5.48","81.08","3.85","46.15","1.78","6.07","82.93"
"J. Fernandes","Turkey 2.","Ankara Keçiörengücü","CF, RAMF","37","75000","","10","603","1","1","Chile","right","182","3.28","2.39","75","4.63","45.16","0","2.11","2.69","0.15","0.1","0","1.19","50","12.5","2.84","15.79","2.24","73.33","7.16","35.42","2.69","0.45","0","23.73","67.92","5.37","58.33","1.94","7.69","0","0.15","0","0","0.15","2.24","73.33","2.84","36.84","0.75","4.18","60.71"
"E. Terzi","Turkey 2.","Serik Belediyespor","LWB, LB, AMF","21","0","2027-06-30","7","602","1","0","Türkiye","left","177","8.22","4.49","50","1.79","25","0.3","5.48","0.9","0.15","0.03","0","0.3","50","50","1.5","0","1.35","55.56","3.74","36","1.05","0.45","0","19.14","64.84","7.18","58.33","2.99","35","0.04","0","0","0","0","2.39","50","1.5","20","0.15","4.34","48.28"
"M. Kiprit","Turkey 2.","Manisa F.K.","LAMF, AMF","26","175000","2026-06-30","10","599","2","0","Germany","both","184","3.46","3.16","47.62","2.55","41.18","0","2.77","2.7","0.15","0.39","0.15","2.85","31.58","10.526","1.95","30.77","1.8","66.67","7.96","39.62","3.76","2.1","0","25.54","74.71","5.86","58.97","1.35","44.44","0.03","0","0.3","0","0.6","3.16","57.14","2.4","56.25","0.75","3.31","63.64"
"Lucas Africo","Turkey 2.","Vanspor FK","LCB, LB","30","300000","2026-06-30","6","598","0","0","Brazil","left","188","8.13","5.87","58.97","1.81","66.67","0","6.21","0.3","0","0.08","0","0.75","20","0","0","0","0.45","33.33","1.66","54.55","0.45","0.75","0","31.61","79.05","16.1","71.03","4.97","45.45","0","0","0","0","0","3.76","68","0.3","0","0","8.73","63.79"
"M. Mamadou","Turkey 2.","İstanbulspor","CF, RWF, LAMF","27","450000","2026-06-30","10","597","1","0","Senegal","right","185","4.67","3.92","69.23","2.71","38.89","0.15","2.65","1.66","0.15","0.13","0","0.75","60","20","1.81","41.67","1.36","33.33","6.63","20.45","1.81","1.96","0.15","21.11","74.29","4.22","71.43","1.21","50","0.04","0.15","0","0","0.15","2.41","62.5","1.51","40","0.75","3.17","76.19"
"G. Vural","Turkey 2.","Iğdır FK","LB, RW, LCB","37","225000","","6","597","1","2","Türkiye","left","177","7.39","5.43","66.67","2.11","42.86","0.3","5.56","1.66","0","0.15","0","1.21","37.5","12.5","3.32","18.18","0.9","33.33","1.81","33.33","1.06","0.3","0.15","33.92","76","10.1","73.13","3.77","44","0.22","0.15","0.3","100","0.75","4.67","70.97","3.62","33.33","0.75","6.33","73.81"
"A. Habesoglu","Turkey 2.","Bodrumspor","CF, LW","21","0","","10","595","2","1","Türkiye","right","0","3.33","2.57","76.47","6.81","44.44","0","2.25","0.91","0.3","0.27","0.15","1.36","33.33","22.222","0.3","50","1.36","22.22","6.66","11.36","3.48","0.61","0.15","13.92","81.52","1.97","84.62","0.15","0","0.15","0","0","0","0.15","0.61","75","1.06","42.86","1.06","1.36","55.56"
"B. Luş","Turkey 2."," Esenler Erokspor","LW, LAMF, LWF","18","0","","10","591","5","1","Türkiye","right","0","6.09","5.63","64.86","0.76","20","0","3.52","3.05","0.76","0.38","0.15","1.83","66.67","41.667","0.76","40","2.74","50","7.16","36.17","2.28","2.59","0.76","19.19","79.37","4.26","50","0.61","0","0.16","0.15","0.15","100","0.76","1.83","66.67","0.76","40","0.3","1.68","72.73"
"G. Kilama","Turkey 2.","Hatayspor","CB, RCB, LCB","26","0","2026-06-30","7","588","0","0","Cameroon","right","182","7.81","4.59","76.67","2.14","64.29","0.46","6.13","0.15","0","0","0","0","0","0","0","0","0.15","100","2.14","57.14","0","0.46","0","48.83","89.34","18.83","77.24","7.5","59.18","0","0","0","0","0","6.12","62.5","0.61","50","0.31","7.04","78.26"
