"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"K. Braithwaite","Germany 2.","Manchester City U19","LCB, LB, DMF","18","0","","4","390","0","0.29","0","0.02","Jamaica","left","0","no","6.23","4.38","63.16","1.62","71.43","0.69","5.53","0","0.07","0","3","0.69","33.33","0","0.46","0","0.69","0","2.31","30","0.69","1.85","0.23","71.54","94.84","21","90.11","1.38","50","0","0","0","14.08","88.52","0.23","0","0","9","87.18","","","0","0","","",""
"K. Noble","Germany 2.","Manchester City U21","RCB","18","0","2027-06-30","4","390","0","0.3","0","0.44","England","right","0","no","4.15","3.23","50","2.31","60","0.69","4.34","0","0.07","0","3","0.69","0","0","1.62","57.14","0","0","0.92","100","0.92","3","0.23","78.92","88.6","32.54","77.3","10.38","55.56","0.1","0","0.23","20.77","82.22","2.77","66.67","0.69","17.77","85.71","","","0","0","","",""
"J. Domínguez","Germany 2.","Atlético Madrid U19 ","RCB","16","0","","4","390","0","0.12","1","0","Spain","unknown","0","no","8.54","6.23","70.37","3.46","73.33","1.38","6.62","0","0.03","0","2","0.46","0","0","0","0","0","0","0.69","66.67","0.46","1.15","0","55.85","84.3","26.77","74.14","8.77","50","0","0","0","7.85","67.65","0.46","50","0.46","13.62","77.97","","","0","0","","",""
"G. Okon Engstler","Germany 2.","Club Brugge U19","RDMF, LDMF, LCMF","17","0","","4","389","0","0.39","0","0","Australia","unknown","0","no","8.1","7.87","70.59","1.16","60","0.23","2.41","0","0.09","0","3","0.69","33.33","0","0.23","0","0.69","66.67","6.48","39.29","1.16","0.93","0.23","35.63","89.61","6.94","76.67","1.62","28.57","0","0","0","3.47","86.67","0.69","66.67","0.23","3.01","69.23","","","0","0","","",""
"Beñat Larrea","Germany 2.","Basconia","RCB","20","0","","4","389","0","0","0","0","Spain","unknown","0","no","11.57","4.63","70","2.54","81.82","0.23","9.44","0","0","0","0","0","0","0","0","0","0","0","0.23","100","0.46","0.23","0","55.99","87.6","18.74","74.07","4.86","61.9","0","0.23","0","4.4","68.42","0","0","0","8.33","66.67","","","0","0","","",""
"Simon García","Germany 2.","Basconia","GK","18","0","","4","389","0","0","0","0","Spain","unknown","0","no","1.85","0.23","0","0.23","100","0","2.22","0","0","0","0","0","0","0","0","0","0","0","0.23","100","0","0","0","26.14","80.53","15.96","71.01","12.26","69.81","0","0","0","1.62","28.57","0","0","0","9.02","64.1","1.39","3.01","53.85","1.31","-0.32","-0.074","1.62"
"M. Baradji","Germany 2.","Olympique Marseille U19","RCB","17","0","","4","388","0","0.19","0","0","France","unknown","0","no","10.9","5.57","79.17","3.25","85.71","0.93","8.75","0","0.04","0","3","0.7","66.67","0","0","0","0.23","100","3.94","47.06","0.93","0","0","34.33","87.84","9.28","67.5","1.16","40","0","0","0","1.86","87.5","0","0","0","5.1","50","","","0","0","","",""
"C. Diarra","Germany 2.","Olympique Marseille U19","GK","18","0","","4","388","0","0","0","0","France","","0","no","2.78","0","0","0.93","100","0","3.75","0","0","0","0","0","0","0","0","0","0","0","0.23","100","0","0","0","23.43","79.21","13.22","68.42","8.35","44.44","0","0","0","0.46","0","0","0","0","6.49","42.86","1.86","2.55","27.27","1.24","-2.64","-0.612","1.39"
"A. Doubal","Germany 2.","Olympique Marseille U19","LB","19","0","","4","388","0","0","1","0.43","France","unknown","0","no","9.28","8.58","51.35","0.93","0","0.23","5.63","0","0","0","0","0","0","0","1.62","42.86","0.46","100","1.62","57.14","0.7","0.93","0","35.03","75.5","14.15","60.66","5.8","40","0.1","0","0.23","6.26","62.96","1.39","50","0.46","8.81","57.89","","","0","0","","",""
"O. Unamuno","Germany 2.","Basconia","RB","18","0","","4","388","0","0.33","0","0.02","Spain","","0","no","7.65","7.42","65.63","0.93","25","0.23","3.46","0","0.08","0","5","1.16","0","0","1.39","33.33","0.23","0","3.02","23.08","1.39","0.46","0","38.04","82.32","16.7","73.61","1.62","42.86","0","0","0","5.57","83.33","2.09","66.67","0.7","8.12","88.57","","","0","0","","",""
"Ilyas El Arbaoui","Germany 2.","Athletic Bilbao U19","LB","17","0","","4","388","0","0.1","0","0.23","Morocco","unknown","0","no","8.58","7.89","70.59","1.16","40","0.23","3.55","0","0.02","0","2","0.46","50","0","4.18","16.67","2.32","70","7.65","54.55","0.93","3.25","0.93","44.77","77.2","16.47","71.83","3.25","35.71","0.05","0.23","0.23","6.73","75.86","4.41","42.11","0.7","9.97","67.44","","","0","0","","",""
"S. Neave","Germany 2.","Newcastle United U21","AMF, LWF, CF","18","0","","4","386","1","1.74","0","0.36","England","right","0","no","4.2","3.73","56.25","4.2","33.33","0.47","2.89","0","0.41","0","13","3.03","46.15","7.692","0.93","25","8.16","57.14","14.92","48.44","2.1","2.8","0.93","19.59","67.86","6.53","46.43","1.87","25","0.08","0.7","0","2.8","41.67","1.63","28.57","0.47","1.4","66.67","","","0","0","","",""
"L. Black","Germany 2.","Tottenham Hotspur U19","LCMF, RCMF","20","0","","5","384","1","0.5","2","0.68","England","unknown","0","no","8.44","9.38","55","0.94","75","0.47","4.64","0.23","0.12","0","4","0.94","75","25","0.23","100","1.88","37.5","6.56","25","1.17","1.41","0","25.31","87.96","5.16","81.82","0.47","50","0.16","0","1.17","1.64","85.71","0.47","100","0.7","2.81","41.67","","","0","0","","",""
"Guillem Víctor","Germany 2.","Barcelona U19","RB","18","0","","5","383","0","0.07","0","0.06","Spain","right","0","no","6.81","6.81","68.97","0.94","25","0","2.84","0","0.02","0","3","0.7","33.33","0","3.52","13.33","3.29","78.57","8.46","55.56","2.11","2.82","0","69.79","87.21","30.31","84.5","5.64","62.5","0.01","0.23","0.47","15.27","80","3.05","53.85","1.64","16.45","87.14","","","0","0","","",""
"M. Hardy","Germany 2.","Tottenham Hotspur U18","LCB","17","0","","4","383","0","0","0","0","England","unknown","0","no","5.4","3.29","42.86","1.17","0","1.17","6.22","0","0","0","0","0","0","0","0","0","0","0","1.88","12.5","0.23","0.23","0","48.41","90.29","18.09","80.52","2.58","54.55","0","0","0","3.99","76.47","0","0","0","6.81","65.52","","","0","0","","",""
"Diogo Ferreira","Germany 2.","Benfica","GK","18","0","2027-06-30","4","382","0","0","0","0","Portugal","left","191","no","1.18","0","0","0.24","100","0","1.65","0","0","0","0","0","0","0","0","0","0","0","0.47","100","0","0","0","22.62","88.54","11.78","78","4.95","66.67","0","0","0","0.47","0","0.24","0","0","4.95","61.9","1.65","4.71","65","1.42","-0.99","-0.233","1.18"
"O. Turay","Germany 2.","Bayer Leverkusen U19","LB","17","0","2028-06-30","4","382","0","0","0","0","Germany","left","0","no","7.3","5.42","60.87","0.47","0","0","3.13","0","0","0","0","0","0","0","0.47","50","1.41","33.33","8.48","22.22","0.47","0.24","0.24","23.09","79.59","5.18","50","1.18","20","0","0","0","0.47","100","0.47","50","0","4.24","33.33","","","0","0","","",""
" . Gariba","Germany 2.","Barcelona U19","RCB, LCB","19","0","","4","382","0","0.16","0","0","Ghana","unknown","0","no","9.19","6.13","61.54","1.88","50","0.47","6.43","0","0.04","0","3","0.71","33.33","0","0","0","0.71","33.33","3.06","46.15","0.47","0.71","0","83.4","91.24","29.92","82.68","4.71","55","0","0","0","8.72","78.38","0.24","0","0","12.25","76.92","","","0","0","","",""
"B. Khaderi","Germany 2.","PSV U19","DMF, LAMF, LCMF","18","0","2026-06-30","4","382","0","0.01","0","0.13","Netherlands","","0","no","6.6","5.42","78.26","0.94","0","0","3.16","0","0","0","1","0.24","0","0","0.71","100","0.71","0","4.24","22.22","0.24","1.18","0","41.7","87.57","13.43","73.68","3.53","40","0.03","0","0.24","5.65","54.17","1.18","40","0","4.95","80.95","","","0","0","","",""
"F. Bernal","Germany 2.","Chelsea U19","GK","17","0","2028-06-30","4","381","0","0","0","0","England","","0","no","2.36","0","0","0","0","0","3.06","0","0","0","0","0","0","0","0","0","0","0","0.24","0","0","0","0","39.21","81.93","23.39","70.71","12.52","54.72","0","0","0","4.72","30","0.47","0","0","9.21","66.67","1.42","3.78","62.5","1.49","0.31","0.073","0.24"
"C. Filis","Germany 2.","Olympiacos Piraeus U19","LDMF, RCMF, LCMF","18","0","","5","381","1","0.2","1","0.15","Greece","unknown","0","no","9.69","7.8","60.61","2.83","83.33","0.24","5.23","0.24","0.05","0","3","0.71","66.67","33.333","0","0","0.24","0","4.49","47.37","0.94","0.71","0","48.66","84.47","14.41","60.66","5.67","41.67","0.04","0","0.24","7.56","62.5","0.24","0","0.47","5.67","75","","","0","0","","",""
"R. Abo","Germany 2.","PSG U21","RCMF","18","0","","4","381","1","0.23","1","0.43","France","unknown","0","no","8.27","6.38","55.56","2.6","81.82","0.47","6.71","0.24","0.05","0","3","0.71","66.67","33.333","0.47","100","1.89","62.5","7.09","46.67","1.65","0.71","0.24","50.55","85.05","13.23","66.07","3.54","40","0.1","0.24","0.71","5.43","69.57","1.18","60","0.71","8.03","64.71","","","0","0","","",""
"J. Berghoff","Germany 2.","Bayer Leverkusen U19","LCB, RDMF, LCMF","17","0","2027-06-30","4","380","0","0.69","1","0","Germany","unknown","0","no","8.76","8.05","58.82","3.79","68.75","0.24","3.38","0","0.16","0","5","1.18","20","0","0.47","50","2.61","63.64","6.87","65.52","1.18","2.37","0","25.34","73.83","10.66","60","1.89","37.5","0","0","0","4.26","61.11","0.71","33.33","0","5.21","45.45","","","0","0","","",""
"L. West","Germany 2.","København U19","RW, RAMF, RWF","18","0","","4","380","0","0.42","0","0.53","Norway","","0","no","7.11","7.11","43.33","0.24","0","0","4.64","0","0.1","0","11","2.61","18.18","0","0.47","50","4.03","64.71","11.37","43.75","2.61","1.89","0.24","27.47","79.31","8.53","61.11","1.89","37.5","0.12","0.47","0.47","3.08","76.92","1.89","62.5","1.18","4.5","68.42","","","0","0","","",""
"S. Novrup","Germany 2.","Midtjylland U19","GK","19","0","","4","380","0","0","0","0","Denmark","unknown","0","no","3.32","0.24","100","0.24","100","0","4.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.21","86.73","15.16","79.69","4.74","45","0","0","0","0.71","66.67","0","0","0","4.74","45","1.42","5.45","73.91","1.36","-0.25","-0.059","1.18"
"A. Lodberg","Germany 2.","Midtjylland U19","RB, LCB","18","0","","4","380","0","0.14","1","1.25","Denmark","","0","no","7.58","5.21","81.82","1.42","83.33","0.47","4.11","0","0.03","0","1","0.24","0","0","4.03","23.53","0.47","100","1.89","62.5","0.95","2.37","0","54.71","81.82","17.05","73.61","4.74","50","0.3","0","0.71","8.29","60","3.55","40","0.71","8.29","80","","","0","0","","",""
