"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"W. Kanga","Belgium 1.","Gent","CF","27","4000000","2026-06-30","11","1006","3","3.52","2","0.44","France","right","189","1.52","1.43","43.75","4.74","30.19","0.18","1.22","1.88","0.18","0.32","0.09","2.06","52.17","13.043","0.45","60","0.89","60","7.16","27.5","2.95","0.36","0.09","16.82","78.72","1.61","55.56","0.09","100","0.04","0","0.27","1.16","76.92","0.45","80","0.36","0.98","45.45"
"S. Ngoura","Belgium 1.","Cercle Brugge","CF","20","0","2026-06-30","14","1005","4","6.42","2","1.42","France","right","185","2.96","1.97","63.64","7.88","37.5","0","2.53","3.13","0.18","0.57","0","3.13","28.57","11.429","1.16","23.08","3.76","52.38","12","27.61","5.01","1.52","0.45","15.49","68.79","2.96","63.64","0.18","50","0.13","0","0.45","1.07","66.67","1.34","53.33","1.16","1.43","68.75"
"T. Rommens","Belgium 1.","Westerlo","LB","22","0","2027-06-30","11","1005","0","0.58","1","1.56","Belgium","left","185","10.39","6.99","69.23","4.39","65.31","0.27","6.59","2.15","0","0.05","0","0.54","0","0","2.51","50","1.88","42.86","5.37","40","2.15","1.79","0.09","38.78","75.06","18","70.65","4.21","46.81","0.14","0.09","0.72","5.01","67.86","2.33","69.23","0.72","10.12","70.8"
"R. Ito","Belgium 1.","Sint-Truiden","AMF, CF","27","2500000","2026-06-30","11","1001","4","2.44","1","2.35","Japan","right","175","2.16","2.16","58.33","0.54","16.67","0.09","1.4","3.06","0.27","0.22","0","1.62","50","22.222","1.08","58.33","1.98","63.64","5.3","45.76","1.26","0.99","0","48.64","86.14","14.12","78.98","4.14","65.22","0.21","0.54","0.81","7.55","80.95","3.6","70","1.98","7.91","86.36"
"J. Seys","Belgium 1.","Club Brugge","LB, RB","20","0","2029-06-30","13","978","1","0.09","0","0.75","Belgium","left","171","6.81","5.25","52.63","1.84","60","0.18","6.15","2.02","0.09","0.01","0","0.18","50","50","1.75","31.58","1.56","76.47","3.77","46.34","1.66","2.76","0.55","56.69","87.34","18.04","81.12","2.94","56.25","0.07","0.18","0.28","5.71","79.03","2.85","67.74","1.47","8.65","77.66"
"J. Homawoo","Belgium 1.","Standard Liège","LCB","27","350000","","11","977","0","0.49","0","0","Togo","left","191","9.86","4.79","69.23","3.87","66.67","1.01","7.47","0.28","0","0.05","0","0.37","0","0","0.09","100","0.18","100","1.47","50","0.46","0.64","0.09","41.73","86.75","17.41","77.78","4.79","61.54","0","0","0","1.93","47.62","0.09","100","0.09","7.83","55.29"
"M. Verrips","Belgium 1.","Dender","GK","28","650000","","10","975","0","0","0","0","Netherlands","right","196","1.38","0","0","0.55","83.33","0","1.78","0","0","0","0","0","0","0","0","0","0","0","0.09","100","0","0","0","27.23","87.12","15.6","79.88","10.15","72.73","0","0","0","2.22","50","0","0","0","8.31","84.44"
"M. Viltard","Belgium 1.","Dender","RCMF, DMF, LCMF","23","400000","2027-06-30","13","968","0","0.15","0","0.34","France","right","176","10.97","8.18","61.36","1.95","57.14","0.56","6.61","1.58","0","0.01","0","0.28","33.33","0","1.77","26.32","2.23","41.67","6.79","43.84","0.74","1.3","0.37","37.65","77.04","12.64","66.91","3.72","50","0.03","0.28","0","5.86","63.49","2.32","44","0.65","6.88","62.16"
"N. Dussenne","Belgium 1.","OH Leuven","CB, RCB","33","400000","2026-06-30","10","965","0","0.35","0","0.48","Belgium","right","192","7.18","4.1","50","6.62","60.56","0.47","6.28","0.09","0","0.03","0","0.47","20","0","0.09","0","0","0","1.12","41.67","1.03","0.37","0","49.06","84.22","20.24","70.05","9.61","49.51","0.05","0","0.19","7.93","60","1.21","30.77","0.56","10.07","68.52"
"J. Steuckers","Belgium 1.","Genk","RAMF, RW","23","4000000","2028-06-30","12","956","0","1.21","5","2.72","Belgium","left","180","3.2","2.92","70.97","0.56","33.33","0","1.43","3.95","0","0.11","0","1.79","21.05","0","4.99","35.85","3.01","50","6.31","35.82","2.26","2.64","0.09","50.84","77.78","15.16","64.6","7.34","61.54","0.26","0.47","1.22","9.13","74.23","7.63","50.62","3.2","11.86","84.92"
"R. Bozhinov","Belgium 1.","Antwerp","CB, LCB","20","0","","11","953","1","0.83","0","0.23","Bulgaria","left","190","7.56","5.1","72.22","6.89","61.64","1.13","5.08","0.38","0.09","0.08","0","0.57","50","16.667","0","0","0.19","50","0.66","57.14","0.66","0.76","0","47.79","93.48","12.56","83.46","2.27","58.33","0.02","0","0","1.89","80","0.09","0","0.09","3.68","58.97"
"S. Schrijvers","Belgium 1.","OH Leuven","RCMF, LCMF","29","2000000","2027-06-30","11","949","0","0.4","1","1.16","Belgium","right","179","9.39","6.07","59.38","1.42","33.33","0.28","6.5","1.33","0","0.04","0","0.85","0","0","2.28","41.67","0.76","50","4.08","46.51","1.14","1.33","0","31.3","76.06","11.38","60.83","5.5","48.28","0.11","0.09","0.47","5.97","58.73","3.51","62.16","1.23","6.83","80.56"
"S. Taniguchi","Belgium 1.","Sint-Truiden","RCB, LCB","34","1500000","","14","948","0","0.22","0","0.14","Japan","right","183","7.97","4.18","72.73","3.8","42.5","0.38","6.54","0","0","0.02","0","0.19","0","0","0","0","0","0","0.57","33.33","0.38","1.04","0.09","54.68","88.54","20.41","78.14","6.46","44.12","0.01","0","0.09","7.97","67.86","0.76","50","0.47","10.25","72.22"
