"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"Zhang Xiuwei","China 1.","Qingdao West Coast","AMF, LCMF, CF","29","125000","2025-12-31","25","1135","1","0.84","1","0.43","China PR","right","173","8.48","6.03","63.16","1.51","31.58","0.24","4.08","0.71","0.08","0.07","0","0.56","14.29","14.286","0.56","42.86","0.79","50","3.65","47.83","0.71","0.24","0","28.39","82.68","7.3","67.39","1.67","57.14","0.03","0.08","0.08","4.12","73.08","1.11","50","0.32","3.81","66.67"
"Matt Orr","China 1."," Shenzhen Peng City","CF, LW","28","400000","2025-12-31","23","1132","2","1.57","1","0.98","Hong Kong","left","188","2.94","3.02","44.74","7.16","46.67","0.08","2.11","2.07","0.16","0.12","0","0.95","16.67","16.667","1.91","33.33","1.75","68.18","5.64","38.03","2.23","1.11","0.16","16.7","77.62","2.31","48.28","0.24","100","0.08","0.08","0.16","0.87","63.64","1.51","47.37","0.32","1.27","62.5"
"Luo Jing","China 1.","Yunnan Yukun","LW, RW","32","100000","2025-12-31","24","1119","2","1.83","4","1.98","China PR","right","180","2.9","3.22","45","2.33","27.59","0","1.76","2.41","0.16","0.15","0.08","1.29","31.25","12.5","2.33","34.48","2.49","48.39","6.27","41.03","1.45","1.45","0.08","22.52","70","6.6","62.2","2.9","44.44","0.16","0","0.72","3.22","67.5","3.14","48.72","1.37","3.7","84.78"
"Tang Miao","China 1.","Yunnan Yukun","RB","35","75000","2026-12-31","13","1110","1","0.47","2","2.55","China PR","right","177","8.03","7.3","46.67","1.3","50","0.24","5.83","3.41","0.08","0.04","0","0.49","16.67","16.667","4.7","50","1.38","70.59","3","54.05","1.14","1.3","0","31.05","74.67","12.32","67.76","7.14","54.55","0.21","0","0.41","5.35","59.09","4.86","51.67","0.81","8.76","81.48"
"Mao Weijie","China 1.","Dalian Young Boy","RW, LCMF","20","0","2026-12-31","23","1103","1","0.94","1","0.97","China PR","unknown","175","10.28","10.85","59.4","1.8","36.36","0.08","3.9","2.28","0.08","0.08","0","1.06","23.08","7.692","1.22","26.67","3.26","52.5","9.14","39.29","1.47","1.14","0.16","34.11","77.03","12.32","62.91","3.43","54.76","0.08","0.16","0.49","4.57","64.29","2.28","60.71","0.98","5.71","68.57"
"Maiwulang Mijiti","China 1.","Qingdao Hainiu","RW, CF","21","0","2027-12-31","15","1098","0","0.93","1","0.28","China PR","unknown","179","6.89","7.3","62.92","3.69","28.89","0.08","3.07","1.64","0","0.08","0","0.82","30","0","2.05","32","0.82","90","7.21","32.95","1.31","1.23","0.08","25.66","73.8","7.79","63.16","1.39","47.06","0.02","0","0.25","2.79","64.71","2.46","50","0.57","3.77","60.87"
"Yu Rui","China 1."," Shenzhen Peng City","RCB, CB","33","100000","2025-12-31","15","1066","0","0.04","0","0.14","China PR","right","183","7.77","4.81","63.16","4.22","56","0.34","5.33","0.34","0","0","0","0.08","0","0","0.34","75","0.17","50","0.42","60","0.42","0","0","30.98","82.29","13.17","71.15","3.97","40.43","0.01","0","0","3.55","50","1.35","25","0.17","5.74","58.82"
"Lluis López","China 1.","Shandong Taishan","CB","28","500000","2026-12-31","10","1054","0","0.36","0","0.01","Spain","right","182","6.32","4.7","60","2.82","51.52","0.17","4.81","0.26","0","0.03","0","0.26","33.33","0","0","0","0.26","66.67","0.77","55.56","0.17","0.34","0.09","43.12","92.28","12.3","77.78","3.16","45.95","0","0","0","2.22","88.46","0.17","100","0.17","5.29","67.74"
"Li Xinxiang","China 1.","Shanghai Port","RAMF, LAMF, RW","20","0","2026-12-31","23","1050","6","2.6","3","1.9","China PR","right","180","7.8","6.77","51.9","2.23","61.54","0","5.57","3.77","0.51","0.22","0","1.89","40.91","27.273","2.91","14.71","4.89","52.63","8.74","45.1","2.66","2.23","0.34","23.31","63.6","4.71","52.73","1.54","22.22","0.16","0.09","0.51","2.14","48","2.83","36.36","1.29","2.91","73.53"
"Chen Xuhuang","China 1.","Meizhou Hakka","RDMF, LCMF, RCMF","22","0","2025-12-31","22","1040","0","0.04","0","0.23","China PR","right","173","8.91","8.05","58.06","2.08","37.5","0.26","5.22","1.04","0","0","0","0.35","0","0","0.52","50","1.82","42.86","4.76","38.18","0.09","0.87","0","33.66","83.29","10.99","73.23","3.72","51.16","0.02","0","0.09","5.19","70","1.82","33.33","0.43","4.5","75"
"Zheng Kaimu","China 1.","Wuhan Three Towns","CB, LDMF, RDMF","33","75000","2026-12-31","21","1039","0","0.21","0","0.01","China PR","right","186","9.1","6.06","65.71","5.54","50","0.17","6.3","0.52","0","0.02","0","0.52","33.33","0","0.43","60","0.35","25","2.95","38.24","0.26","0.09","0","29.45","82.94","11.35","64.89","3.98","56.52","0","0","0","3.64","66.67","0.78","44.44","0.09","4.68","66.67"
"Rao Weihui","China 1.","Meizhou Hakka","LB","36","25000","2025-12-31","21","1034","0","0.1","1","0.32","China PR","left","178","7.66","6.62","60.53","1.22","50","0.17","4.17","1.39","0","0.01","0","0.35","0","0","2.26","42.31","0.78","55.56","2.44","35.71","0.09","0.26","0","32.64","71.73","16.8","63.21","7.22","36.14","0.03","0","0.09","5.14","49.15","2.96","35.29","0.26","8.62","69.7"
"Gan Chao","China 1.","Chengdu Rongcheng","RWB, RB","30","350000","2026-01-24","22","1031","1","0.33","1","1.21","China PR","right","175","7.68","7.16","67.07","1.83","33.33","0.17","4.65","2.88","0.09","0.03","0","0.61","42.86","14.286","4.89","41.07","0.87","70","4.71","50","1.66","1.22","0","45.74","80.53","12.31","72.34","5.32","57.38","0.11","0.09","0.44","5.94","76.47","4.36","56","0.87","9.43","81.48"
"Ming Tian","China 1.","Shanghai Port","RB","30","250000","2026-12-31","14","1025","0","0.27","1","0.81","China PR","right","180","7.2","6.76","61.04","2.02","39.13","0.18","4.18","2.63","0","0.02","0","0.26","33.33","0","4.39","38","1.84","47.62","4.3","42.86","0.61","1.4","0.35","33.37","77.89","9.92","65.49","2.9","42.42","0.07","0.09","0.44","4.04","69.57","4.13","42.55","0.09","6.23","70.42"
"Feng Boyuan","China 1.","Qingdao Hainiu","CF","30","100000","2025-12-31","15","1016","1","1.89","1","0.54","China PR","right","192","2.57","2.39","48.15","9.57","49.07","0.27","1.75","0.53","0.09","0.17","0","0.71","37.5","12.5","0.09","0","0.71","37.5","11.69","32.58","2.3","0.27","0","12.05","81.62","1.51","58.82","0.35","75","0.05","0","0.18","0.97","45.45","0.09","0","0.27","0.71","62.5"
