"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"Rika","Portugal 3.","Vitória Guimarães II","LCB, LB","19","0","2028-06-30","12","950","0","0.34","0","0.1","Portugal","right","184","no","9","6.25","68.18","3.98","57.14","0.38","7.16","0","0.03","0","4","0.38","0","0","0.28","33.33","0.85","88.89","1.89","75","0.85","1.23","0","41.97","79.46","20.18","67.14","8.15","50","0.01","0","0","7.01","59.46","0.95","40","0.47","9.38","64.65","","","0","0","","",""
"Dedé","Portugal 3.","Sintrense","LW, RWF, LWF","20","0","2026-06-30","15","941","2","2.26","1","0.24","Cape Verde Islands","left","171","no","6.7","6.79","56.34","3.54","29.73","0","3.16","0.19","0.22","0.1","20","1.91","35","10","2.58","29.63","3.54","51.35","9.47","33.33","2.58","0.96","0.19","16.45","65.12","4.3","53.33","1.24","53.85","0.02","0","0.29","1.63","64.71","2.39","40","0.38","2.49","69.23","","","0","0","","",""
"Derick","Portugal 3.","Varzim","LCB, CB","23","100000","2027-06-30","13","935","1","0.44","0","0.54","Brazil","right","193","no","11.26","5.58","74.14","6.35","62.12","0.77","8.85","0.1","0.04","0","5","0.48","20","20","0.1","0","0.29","66.67","1.93","35","0.87","0.48","0.1","34.84","84.53","16.17","75","5.39","51.79","0.05","0","0","3.37","57.14","0.67","14.29","0.19","6.16","60.94","","","0","0","","",""
"Candeias","Portugal 3.","Académica","RW, RAMF, RWF","38","100000","2026-06-30","16","931","0","0.18","0","1.44","Portugal","right","177","no","6.67","4.93","72.55","2.42","52","0.1","4.32","0","0.02","0","11","1.06","0","0","5.03","26.92","0.39","50","2.9","13.33","2.03","0.87","0.19","32.67","61.24","10.15","51.43","3.67","28.95","0.14","0.19","0.48","3.09","43.75","5.51","36.84","0.87","6.09","65.08","","","0","0","","",""
"Rúben Fonseca","Portugal 3.","Paredes","CF","26","350000","2027-06-30","21","927","1","4.15","1","0.59","Portugal","right","188","no","3.5","3.4","51.43","4.27","52.27","0.1","2.12","0.1","0.4","0","23","2.23","26.09","4.348","0","0","0.49","60","3.79","43.59","3.11","0.19","0.1","17.09","74.43","3.79","64.1","0.68","71.43","0.06","0.1","0.29","1.84","78.95","0.29","0","0.49","1.84","47.37","","","0","0","","",""
"Vasco Braga","Portugal 3.","Fafe","RCMF, LCMF","32","0","2026-06-30","15","926","0","0.76","3","1.6","Portugal","left","175","no","7.1","7.39","53.95","1.36","42.86","0.29","4.64","0","0.07","0","11","1.07","18.18","0","2.24","34.78","1.75","27.78","4.96","50.98","3.11","0.87","0","53.75","85.71","17.49","79.44","4.08","54.76","0.16","0.29","0.78","9.33","78.13","3.11","46.88","1.26","9.04","86.02","","","0","0","","",""
"Vítor Gonçalves","Portugal 3.","Mafra","AMF, RAMF","33","225000","2026-06-30","18","919","2","1.88","3","3.11","Portugal","right","174","no","4.6","3.23","51.52","2.35","50","0","4.26","0","0.18","0","8","0.78","87.5","25","2.94","30","1.08","54.55","4.5","32.61","1.86","0.49","0","28.3","71.63","8.52","67.82","2.25","34.78","0.3","0.1","0.39","4.6","63.83","2.94","40","0.59","5.09","78.85","","","0","0","","",""
"T. Castro","Portugal 3.","União Santarém","AMF, LCMF","26","0","","14","916","2","2.06","0","0.34","Portugal","","181","no","9.24","7.76","62.03","4.72","29.17","0","5.73","0.2","0.2","0","11","1.08","27.27","18.182","0.79","37.5","0.69","71.43","8.65","29.55","2.46","0.39","0.1","31.93","77.85","9.14","60.22","2.95","36.67","0.03","0","0.29","4.32","61.36","0.98","30","0.59","4.62","63.83","","","0","0","","",""
"Tiago Caveira","Portugal 3.","Sporting Covilhã","LCB","25","0","","11","916","0","0.31","0","0.01","Brazil","","188","no","8.25","2.75","78.57","6.98","63.38","0.39","9.03","0","0.03","0","3","0.29","33.33","0","0.2","0","0.2","100","2.06","52.38","0.79","0.88","0","49.62","78.61","26.43","66.17","9.53","40.21","0","0","0.2","8.94","49.45","0.79","12.5","0.1","11","61.61","","","0","0","","",""
"Duarte Duarte","Portugal 3.","AD Marco 09","LCMF, RCMF","38","0","2026-06-30","17","916","0","2.31","0","0.11","Portugal","left","176","no","5.5","5.5","60.71","1.08","36.36","0.2","3.23","0","0.23","0","31","3.05","25.81","0","2.65","29.63","4.32","45.45","9.92","45.54","1.87","2.55","0.1","26.23","76.4","8.45","72.09","1.08","36.36","0.01","0","0.1","4.03","65.85","3.14","40.63","0.49","4.42","75.56","","","0","0","","",""
