"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"Cassiano","Portugal 1.","Estoril","CF","36","200000","2026-06-30","15","988","2","0","Brazil","right","184","3.73","3.55","43.59","6.01","36.36","0.09","2.53","1.55","0.18","0.23","0","1","45.45","18.182","0.55","0","1.46","75","5.56","45.9","1.55","0.36","0.18","9.11","61","2.1","52.17","0.18","50","0.01","0","0","0","0","0.91","40","0.55","16.67","0.18","0.73","62.5"
"Pablo Moreno","Portugal 1.","Marítimo","CF, AMF","23","500000","","19","984","0","2","Spain","right","178","5.67","6.4","60","2.84","19.35","0","2.44","2.47","0","0.05","0","0.64","28.57","0","0.73","37.5","4.21","45.65","11.25","39.02","1.19","2.29","1.01","18.57","85.71","3.93","79.07","0.18","0","0.08","0.18","0.55","16.67","0.27","0.64","85.71","1.19","30.77","0.37","1.19","69.23"
"B. Riascos","Portugal 1.","Marítimo","CF, RAMF","30","550000","","16","974","3","2","Colombia","right","178","5.91","4.62","64","5.36","41.38","0.09","4.67","3.7","0.28","0.41","0","2.49","22.22","11.111","2.4","38.46","4.07","52.27","12.1","33.59","4.34","1.48","0.83","17","72.83","3.14","58.82","0.83","44.44","0.21","0","0.18","50","0.74","0.74","75","1.02","81.82","0.74","2.22","54.17"
"Zé Carlos","Portugal 1.","Vitória Guimarães","RB, RWB","23","2000000","","15","957","0","2","Portugal","right","172","9.97","8.09","56.98","1.97","28.57","0.19","6.64","2.16","0","0.01","0","0.28","33.33","0","1.79","21.05","2.82","60","6.58","64.29","0.56","0.94","0.19","32.63","77.52","11.29","71.67","2.16","30.43","0.05","0","0","0","0.28","3.57","55.26","1.79","21.05","0.47","5.08","66.67"
"Oday Dabbagh","Portugal 1.","Arouca","CF","26","1500000","2026-06-30","14","954","7","0","Palestine","left","183","3.68","3.21","52.94","6.6","28.57","0","2.73","3.11","0.66","0.37","0","2.08","63.64","31.818","0.28","66.67","2.55","59.26","7.74","41.46","3.96","1.6","0.38","20.85","82.81","2.74","65.52","0.19","100","0.05","0","0.19","50","0.28","1.23","69.23","1.04","72.73","0.75","1.23","76.92"
"O. Diomandé","Portugal 1.","Sporting CP","RCB","21","0","2027-06-30","13","952","1","0","Côte d'Ivoire","right","190","8.22","7.37","62.82","3.78","47.5","0.38","6.44","0.85","0.09","0.08","0.09","0.95","20","10","0.09","0","0.85","44.44","2.08","40.91","0.57","1.61","0.19","80.45","91.54","29.31","81.29","5.58","50.85","0","0","0.57","50","0","11.72","78.23","1.04","45.45","0.47","11.72","79.03"
"Rildo","Portugal 1.","Santa Clara","LW, CF, RW","25","1000000","2027-06-30","23","949","3","1","Brazil","right","178","5.03","5.88","51.61","2.66","21.43","0.09","2.38","3.32","0.28","0.21","0","1.99","42.86","14.286","1.33","14.29","5.31","41.07","10.34","34.86","1.8","1.42","0.85","15.36","66.67","4.65","69.39","0.66","42.86","0.01","0.09","0.57","16.67","0.19","1.9","60","1.9","30","0.38","2.66","64.29"
"Youssef Chermiti","Portugal 1.","Sporting CP","CF","20","0","2027-06-30","16","946","3","2","Portugal","right","192","3.04","4.85","39.22","4","42.86","0.1","1.89","2.38","0.29","0.58","0.1","2.47","53.85","11.538","0.86","22.22","2.38","32","8.85","21.51","4.76","1.05","0.38","11.89","73.6","2.09","63.64","0.19","0","0.03","0","0.29","33.33","0.1","1.24","84.62","0.76","50","0.38","0.57","66.67"
"Alisson Safira","Portugal 1.","Vitória Guimarães","CF","30","400000","","22","943","5","1","Brazil","right","185","3.53","4.1","41.86","10.5","50","0.29","2.26","1.91","0.48","0.25","0.29","1.91","45","25","0.57","0","2.2","47.83","9.54","40","3.44","0.38","0.19","15.94","75.45","2.67","53.57","0.19","0","0.06","0","0.19","0","0.1","0.48","40","0.86","33.33","0.29","0.76","50"
"J. Léa Siliki","Portugal 1.","Estoril","RW, RCMF, AMF","28","600000","","22","932","3","0","France","left","183","5.6","6.86","43.66","1.06","54.55","0.19","3.2","3.77","0.29","0.12","0.1","1.55","37.5","18.75","2.41","24","4.25","54.55","10.43","43.52","1.93","0.87","0.39","21.73","66.67","6.86","47.89","2.8","31.03","0.04","0","1.16","25","0.39","3.96","46.34","3.09","25","0.58","2.99","83.87"
"I. Vekič","Portugal 1.","Paços de Ferreira","GK","26","250000","2026-06-30","10","923","0","0","Slovenia","right","192","1.56","0.1","0","0.49","100","0","2.26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.24","89.04","8","81.71","4.78","71.43","0","0","0","0","0","0.29","0","0","0","0","3.12","68.75"
"Matheus Pereira","Portugal 1.","Vizela","LB","24","800000","2028-06-30","18","923","1","2","Brazil","left","172","10.34","9.46","51.55","2.54","34.62","0.1","7.21","2.63","0.1","0.02","0","0.2","50","50","2.24","39.13","2.44","68","6.34","52.31","0.68","1.17","0.78","44.07","73.67","19.21","59.9","6.63","38.24","0.07","0","0","0","0.59","6.63","64.71","2.63","40.74","0.29","10.92","68.75"
"Bruno Jordão","Portugal 1.","Santa Clara","LCMF, RDMF, RCMF","26","700000","2026-06-30","11","906","1","0","Portugal","right","180","7.65","6.46","58.46","1.49","40","0.1","4.19","2.98","0.1","0.19","0","1.29","30.77","7.692","0.89","11.11","4.07","56.1","8.05","54.32","0.99","0.79","0.3","26.52","79.78","7.85","67.09","2.78","53.57","0.03","0","0.5","40","0.3","2.58","76.92","1.59","43.75","0.4","4.17","61.9"
"Gilberto","Portugal 1.","Benfica","RB","32","3000000","2026-06-30","20","883","2","1","Brazil","right","181","8.97","7.34","62.5","2.85","42.86","0.2","7.6","5.5","0.2","0.13","0.1","0.71","42.86","28.571","5.3","34.62","5.3","57.69","9.78","45.83","2.34","3.47","0.61","65.64","83.54","16.21","71.7","2.45","33.33","0.29","0","0.71","42.86","1.22","7.03","68.12","5.61","50.91","1.73","9.07","83.15"
"Vítor Gomes","Portugal 1.","Rio Ave","RCMF, DMF","37","100000","","20","876","0","1","Portugal","right","182","7.29","4.01","61.54","0.92","55.56","0.21","5.77","0.72","0","0.01","0","0.31","0","0","0.21","0","0.62","50","3.18","45.16","0.1","0.1","0","52.91","82.52","19.21","71.66","4.42","58.14","0.04","0.1","1.23","33.33","0.51","10.68","62.5","1.64","31.25","0.51","8.01","75.64"
"A. Oudrhiri","Portugal 1.","Rio Ave","RCMF","32","400000","","19","875","0","0","France","right","184","6.99","4.11","62.5","0.62","50","0.31","6.2","0.51","0","0.03","0","0.21","0","0","0.31","33.33","0.62","66.67","4.22","48.78","0.21","0.82","0.41","44.74","91.95","10.39","84.16","2.47","79.17","0","0.1","0.31","0","0","5.25","92.16","0.51","40","0.1","4.42","76.74"
"B. Aouacheria","Portugal 1.","Gil Vicente","LAMF, RAMF, RW","31","400000","","24","874","1","1","France","both","182","4.94","6.49","52.38","1.54","26.67","0","2.18","4.94","0.1","0.11","0","2.16","23.81","4.762","2.99","17.24","5.66","67.27","13.08","50.39","2.06","2.88","1.44","22.35","71.43","5.15","60","0.93","44.44","0.08","0","0.41","25","0.31","2.16","61.9","2.88","42.86","0.82","2.78","77.78"
"Alexandre Guedes","Portugal 1.","Paços de Ferreira","CF","31","250000","","16","870","1","1","Portugal","right","185","2.69","2.9","53.57","9","25.29","0.21","1.34","1.34","0","0.37","0","1.97","31.58","5.263","0.52","20","1.45","42.86","6.31","31.15","3","0.52","0.21","13.14","72.44","2.79","48.15","0.41","25","0.01","0","0.1","0","0.21","1.24","50","0.41","25","0.31","1.24","41.67"
"Hélder Sá","Portugal 1.","Vitória Guimarães","LB, LWB","22","300000","2028-06-30","10","863","0","0","Portugal","left","186","9.59","8.34","62.5","0.94","55.56","0.31","6.47","3.75","0","0.02","0","0.42","25","0","4.69","33.33","3.34","62.5","6.36","50.82","0.94","1.98","0.73","39.32","77.45","14.91","72.73","3.65","51.43","0.08","0.1","0.31","0","0.42","6.26","81.67","3.96","44.74","0.1","8.66","73.49"
"K. Medina","Portugal 1.","Gil Vicente","LAMF, LW","24","0","","21","855","0","0","Spain","both","173","9.58","11.68","49.55","0.95","33.33","0.21","4.14","6.84","0","0.14","0","2.53","25","0","3.05","37.93","9.68","50","19.16","39.01","2.53","3.68","1.58","28.42","75.19","7.47","70.42","1.68","43.75","0.15","0","0.63","33.33","0.53","2.95","67.86","4.11","53.85","0.84","4.32","82.93"
"Félix Correia","Portugal 1.","Marítimo","LAMF, AMF, LWB","24","2500000","2028-06-30","13","837","2","3","Portugal","right","178","4.84","4.95","52.17","0.75","28.57","0","2.23","5.81","0.22","0.18","0","1.72","43.75","12.5","2.26","42.86","6.88","53.13","11.29","48.57","3.12","3.23","0.86","27.1","80.16","6.56","73.77","2.69","68","0.14","0.11","0.65","66.67","1.08","2.9","77.78","3.01","67.86","1.61","4.73","81.82"
"R. Guitane","Portugal 1.","Estoril","RW, CF, RCMF","26","5000000","2026-06-30","13","835","0","1","France","right","170","4.42","4.31","52.5","0.54","20","0.22","2.6","3.66","0","0.01","0","0.54","40","0","0.97","66.67","4.96","54.35","9.59","44.94","0.75","2.91","1.51","27.92","81.47","7.44","63.77","2.05","78.95","0.09","0.11","0.86","12.5","0.32","2.59","62.5","3.45","56.25","1.51","3.56","72.73"
"João Carlos","Portugal 1.","Estoril","CF","30","400000","2025-12-31","23","827","2","1","Brazil","both","187","3.16","2.83","30.77","8.16","33.33","0.11","3.18","2.5","0.22","0.35","0.11","2.72","40","8","0.54","40","2.83","42.31","10.67","31.63","2.94","0.65","0.11","13.49","72.58","2.5","60.87","1.09","70","0.05","0","0.22","0","0.22","1.52","71.43","0.65","50","0.33","1.41","61.54"
"Paulo Bernardo","Portugal 1.","Paços de Ferreira","RCMF, LCMF","23","3500000","2029-06-30","13","826","2","1","Portugal","right","180","7.3","7.08","63.08","2.83","53.85","0","2.68","1.85","0.22","0.14","0","1.53","28.57","14.286","0.76","42.86","2.29","47.62","4.9","42.22","1.31","0.44","0.11","27.68","82.28","8.93","70.73","2.4","63.64","0.01","0.11","0.22","0","0.22","3.05","78.57","0.87","50","0.22","3.81","71.43"
"Álex Millán","Portugal 1.","Famalicão","CF","25","800000","2026-06-30","13","825","2","0","Spain","right","182","3.38","2.51","73.91","4.25","43.59","0","1.68","2.73","0.22","0.31","0.11","1.2","81.82","18.182","1.2","36.36","2.29","52.38","8.07","39.19","2.95","0.44","0.22","17.13","77.07","3.16","65.52","0.33","0","0.16","0","0.33","33.33","0.33","1.53","57.14","0.87","75","0.65","1.53","57.14"
"P. Musa","Portugal 1.","Benfica","CF","27","0","2027-12-31","30","819","7","2","Croatia","right","190","4.73","4.62","47.62","6.48","49.15","0.22","4.32","3.74","0.77","0.56","0.22","3.3","50","23.333","0.44","0","2.86","50","9.78","34.83","6.7","0.88","0.33","19.45","77.97","3.96","61.11","0.22","50","0.22","0.11","0.99","66.67","1.1","1.32","75","0.77","71.43","1.98","1.98","61.11"
"Hernâni","Portugal 1.","Rio Ave","LW, RWF, AMF","33","250000","","21","814","2","0","Portugal","left","179","2.76","2.1","47.37","0.77","14.29","0.11","2.51","5.09","0.22","0.26","0.11","2.87","26.92","7.692","2.54","47.83","5.86","52.83","9.51","39.53","2.87","1.88","0.33","14.93","68.15","3.76","73.53","1","44.44","0.07","0.11","0.22","0","0.22","1.44","53.85","2.65","54.17","0.44","2.87","80.77"
"Flávio Ramos","Portugal 1.","Paços de Ferreira","LCB, CB, RCB","30","100000","","9","810","0","0","Brazil","right","191","9.33","4.11","56.76","4.22","73.68","1.11","9","0.11","0","0.01","0","0.33","0","0","0","0","0","0","0.56","20","0.22","0","0","34.89","87.58","13.67","75.61","4.56","58.54","0","0","0.11","100","0","2.33","57.14","0.33","0","0","4.78","65.12"
