"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"Essam Tharwat","Egypt 1.","Al Masry","GK","36","200000","","9","872","0","0","0","0","Egypt","","0","1.34","0.1","0","0.72","85.71","0","2.31","0","0","0","0","0","0","0","0","0","0","0","0.41","100","0","0","0","12.18","82.2","7.43","77.78","3.92","52.63","0","0","0","0.72","28.57","0","0","0","2.89","57.14","1.14","2.48","54.17","0.9","-2.31","-0.238","2.17"
"S. Attidjikou","Egypt 1.","Smouha","DMF","21","0","2027-06-30","10","872","0","0.05","0","0.1","Benin","unknown","0","8.57","6.09","66.1","3.92","50","0.31","6.14","0","0.01","0","4","0.41","0","0","0.1","0","0.72","57.14","4.03","43.59","0.21","0.21","0","31.27","83.17","9.5","66.3","3.51","38.24","0.01","0","0.1","4.54","61.36","0.41","50","0.31","4.44","62.79","","","0","0","","",""
"Ahmed Dahroug","Egypt 1.","Wadi Degla","LB","30","0","","10","867","0","0.07","0","0.61","Egypt","right","0","10.38","7.99","67.53","1.97","15.79","0.31","9.02","0","0.01","0","2","0.21","0","0","1.97","31.58","0.52","40","2.08","50","0.73","0.93","0.1","34.05","73.78","15.26","67.35","5.71","41.82","0.06","0","0","5.81","57.14","2.28","40.91","0.42","8.41","71.6","","","0","0","","",""
"F. Akem","Egypt 1.","Al Ittihad","CF, RW, LW","22","0","2029-06-30","13","866","1","1.56","1","0.91","Nigeria","","0","6.24","5.72","63.64","3.43","15.15","0","2.89","0.1","0.16","0.1","15","1.56","13.33","6.667","1.87","27.78","3.33","46.88","8.52","36.59","2.6","1.45","0","23.18","63.68","7.17","60.87","1.04","40","0.09","0.1","0.31","2.91","57.14","2.18","52.38","1.04","4.16","77.5","","","0","0","","",""
"Mody Naser","Egypt 1.","ENPPI","RDMF, RCMF, LCMF","24","0","2026-06-30","10","864","2","0.38","0","0","Egypt","unknown","170","12.19","8.23","70.89","2.29","59.09","0.21","6.56","0.21","0.04","0","3","0.31","100","66.667","0.1","0","0.42","75","2.5","37.5","0.31","0.63","0.1","30.52","84.3","11.56","77.48","2.92","71.43","0","0.1","0","3.96","84.21","0.63","16.67","0.1","4.58","59.09","","","0","0","","",""
"M. Abuzraa","Egypt 1.","Kahraba Ismailia","CB, RCB, LCB","29","0","","9","864","0","0.11","0","0.01","Morocco","right","185","8.65","5.21","70","4.48","53.49","0.63","6.68","0","0.01","0","4","0.42","50","0","0","0","0.1","100","0.52","80","0.21","0","0","29.38","76.95","12.5","57.5","5.63","31.48","0","0","0","3.23","29.03","0.1","0","0.42","5.52","45.28","","","0","0","","",""
"M. Magassa","Egypt 1.","ZED FC","LCMF, LDMF, AMF","22","0","2027-06-30","11","863","1","0.46","1","0.89","Egypt","unknown","0","9.8","6.57","69.84","6.36","59.02","0.52","6.27","0.1","0.05","0.1","6","0.63","33.33","16.667","0.42","0","0.52","80","3.75","52.78","1.56","1.04","0.1","31.39","81.73","9.59","70.65","1.77","52.94","0.09","0.1","0.21","4.48","72.09","0.63","33.33","0.52","4.48","60.47","","","0","0","","",""
"Mohamed Makhlouf","Egypt 1.","Al Masry","RDMF, DMF, LDMF","27","150000","2027-06-30","9","862","1","0.06","1","1.52","Egypt","","0","7.2","4.91","63.83","3.24","51.61","0.31","5.83","0.1","0.01","0","6","0.63","16.67","16.667","1.46","28.57","1.57","46.67","3.55","41.18","0.52","0.84","0.21","43.23","84.78","12.63","80.17","3.45","63.64","0.16","0.1","0.73","6.26","78.33","1.67","37.5","0.42","8.04","75.32","","","0","0","","",""
"I. Adel","Egypt 1.","Wadi Degla","RCB, RCMF, DMF","32","0","","12","859","0","0.22","0","0.81","Egypt","","0","8.38","6.39","55.74","3.88","64.86","0.21","7.5","0","0.02","0","4","0.42","0","0","0.42","0","1.05","30","3.88","35.14","1.78","0.94","0.31","35.94","74.93","15.19","62.76","5.13","40.82","0.09","0.1","0","4.82","60.87","0.52","0","0.21","6.6","50.79","","","0","0","","",""
"Mohamed Nasr","Egypt 1.","Ismaily","RCB","26","0","","9","858","0","0.03","0","0.03","Egypt","","0","7.76","3.99","78.95","4.51","65.12","0.84","6.03","0","0","0","2","0.21","0","0","0","0","0.94","55.56","3.15","56.67","0.31","0.73","0","33.78","83.85","14.69","73.57","6.61","57.14","0","0","0","4.83","65.22","1.05","40","0.31","6.92","66.67","","","0","0","","",""
