"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"S. Sandal","Norway 1.","KFUM","LCMF, RW, RWF","22","0","2026-12-31","26","1355","0","0","Norway","right","193","9.23","7.77","68.38","6.51","44.9","0.07","4.16","0.86","0","0.09","0","0.86","30.77","0","0.2","66.67","0.66","60","6.31","38.95","1.13","1.2","0.07","40.98","86.22","11.76","69.49","2.99","55.56","0.02","0","0.27","25","0","4.72","70.42","1.06","25","0.46","4.45","68.66"
"P. Guèye","Norway 1.","Kristiansund","CF, LWF, RW","26","700000","2026-05-31","15","1338","4","1","Senegal","right","188","4.44","4.57","44.12","7.47","45.95","0","2.66","3.09","0.27","0.28","0","1.55","43.48","17.391","0.4","33.33","4.78","46.48","11.23","34.73","3.23","2.22","0.54","13.99","75.96","2.96","68.18","0.81","58.33","0.06","0","0.2","33.33","0.27","1.68","52","1.08","43.75","1.01","2.02","80"
"M. Kaasa","Norway 1.","Molde","RCMF, LCMF, DMF","28","1000000","","19","1338","2","2","Norway","right","175","5.72","5.25","56.41","2.29","52.94","0.07","3.29","2.49","0.07","0.18","0","0.87","38.46","15.385","1.14","29.41","3.23","50","8.81","34.35","3.63","2.35","0.87","36.26","85.9","8.81","73.28","2.09","64.52","0.08","0.2","0.27","75","0.4","3.57","75.47","2.96","63.64","2.02","3.63","85.19"
"J. Soltvedt","Norway 1.","Brann","LB","30","750000","","19","1331","5","1","Norway","left","187","8.59","6.9","64.71","2.1","22.58","0","7.76","3.11","0.14","0.28","0","1.89","39.29","17.857","3.85","28.07","1.96","55.17","3.65","46.3","2.43","1.76","0.2","64.58","80","23.73","68.66","7.24","42.06","0.15","0.07","0.41","50","0.2","8.72","63.57","5.41","43.75","1.76","11.22","72.29"
"V. Jónsson","Norway 1.","HamKam","RB, RWB, LB","31","200000","2025-12-31","21","1322","2","1","Iceland","right","184","8.85","8.1","58.82","2.86","42.86","0.2","4.22","1.84","0.14","0.04","0","0.75","36.36","18.182","2.79","36.59","1.23","44.44","4.22","33.87","1.02","0.75","0.07","28.18","73.67","8.78","55.81","5.17","44.74","0.08","0","0","0","0.14","3.2","61.7","2.52","43.24","0.34","6.33","62.37"
"M. Koch","Norway 1.","Sarpsborg 08","RCB","31","200000","2026-06-30","16","1314","1","0","Netherlands","right","195","9.52","5.96","74.71","4.52","56.06","0.82","5.93","0.48","0.07","0.07","0.07","0.48","57.14","14.286","0","0","0.21","100","1.03","33.33","1.03","0.27","0","42.53","89.86","16.3","81.93","3.56","59.62","0","0","0","0","0","6.23","81.32","0.27","25","0.21","5.96","68.97"
"S. Skjeldal","Norway 1.","Odds","LB, RB","22","0","2027-07-31","20","1311","1","3","Norway","left","183","8.44","6.66","61.86","2.61","31.58","0.14","4.22","2.47","0.07","0.06","0","0.69","20","10","3.02","27.27","2.81","51.22","5.22","38.16","1.51","1.24","0.34","30.76","77.01","8.79","58.59","3.71","33.33","0.03","0","0.14","50","0.41","2.13","51.61","2.47","30.56","0.14","4.81","50"
"S. Mørk","Norway 1.","Sandefjord","LCMF, RCMF","24","250000","2025-12-31","27","1311","1","2","Norway","right","185","6.52","5.08","67.57","1.65","41.67","0.34","3.88","0.82","0.07","0.11","0","1.24","33.33","5.556","0.96","21.43","0.76","27.27","3.57","23.08","1.92","0.48","0","30.82","79.51","8.1","56.78","2.75","45","0.01","0.07","0","0","0.27","2.68","56.41","1.37","40","0.55","3.64","64.15"
"M. Linnes","Norway 1.","Molde","RWB, RB","34","600000","2025-12-31","20","1310","1","5","Norway","right","177","10.37","7.83","63.16","1.31","47.37","0.21","6.54","4.19","0.07","0.13","0","1.03","33.33","6.667","3.85","44.64","2.89","66.67","5.15","56","3.23","1.37","0.34","41.7","77.27","10.79","65.61","3.5","47.06","0.26","0.07","0.27","75","0.96","3.09","68.89","3.92","52.63","1.44","7.35","67.29"
"V. Hoff","Norway 1.","Lillestrøm","DMF, LCMF, RCMF","29","450000","2025-12-31","19","1309","0","2","Norway","right","181","9.08","7.84","71.93","1.72","64","0.28","3.87","2.41","0","0.05","0","0.62","33.33","0","2.13","54.84","1.44","71.43","4.26","54.84","0.76","1.03","0.21","46","83.26","11.34","70.3","3.85","58.93","0.26","0","0","0","0.69","5.71","67.47","2.75","55","0.76","6.94","75.25"
