"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"R. Emanuel","Panama 1.","Árabe Unido","CF, LWF, LAMF","30","0","","21","941","4","2.81","1","1.5","Panama","unknown","176","no","4.88","6.31","50","6.7","31.43","0","2.59","0.38","0.27","0","19","1.82","47.37","21.053","1.05","27.27","5.36","44.64","13.01","33.82","2.58","1.63","0","13.87","66.9","3.83","47.5","0.57","33.33","0.14","0","0.48","1.24","69.23","1.43","60","0.96","1.82","73.68","","","0","0","","",""
"R. Perdomo","Panama 1.","Alianza","RB, RWB, LB","24","0","2026-12-31","11","940","1","0.42","0","0.37","Panama","right","0","no","9","6.39","53.7","6.16","65.38","0.24","8.31","0.12","0.05","0.12","6","0.71","33.33","16.667","1.66","35.71","1.78","53.33","6.28","49.06","0.83","1.42","0.12","23.45","66.16","11.01","62.37","5.09","39.53","0.04","0.24","0.36","4.86","51.22","1.89","62.5","0.95","7.34","72.58","","","0","0","","",""
"Jefferson Murillo","Panama 1.","Independiente","LB, LW, LAMF","34","125000","","10","932","0","0.54","2","0.67","Colombia","left","171","no","8.02","6.41","60","1.18","9.09","0","5.76","0","0.06","0","6","0.64","33.33","0","3.21","13.33","2.78","46.15","5.13","37.5","1.6","2.14","0.21","31.21","73.29","12.4","82.76","4.38","65.85","0.07","0.11","0.43","4.6","76.74","2.99","39.29","0.86","8.12","71.05","","","0","0","","",""
"O. Castillo","Panama 1.","Sporting San Miguelito","LW, RW, LAMF","20","0","","15","930","3","1.37","0","0.62","Panama","unknown","0","no","5.03","6.1","57.14","1.84","42.11","0","2.2","0.29","0.13","0","15","1.45","46.67","20","0.97","20","6","50","14.71","39.47","1.35","2.13","0.58","14.03","75.86","3.29","64.71","0.68","42.86","0.06","0.19","0.19","1.65","70.59","0.87","44.44","0.39","1.35","85.71","","","0","0","","",""
"L. Asprilla","Panama 1.","Tauro","RB, LB","24","125000","","12","928","0","0","0","0","Panama","","0","no","8.9","7.1","66.1","3.13","88.46","0.12","5.86","0","0","0","1","0.12","0","0","1.8","13.33","0.48","25","1.93","18.75","0.72","0.72","0.12","30.92","80.93","14.92","76.61","3.85","43.75","0","0","0.12","4.57","60.53","1.08","22.22","0.12","5.66","87.23","","","0","0","","",""
"R. Botello","Panama 1.","CD Universitario","LCMF, RDMF, LDMF","34","75000","","10","925","0","0.43","0","0.39","Panama","right","169","no","6.05","5.63","65.85","2.89","47.62","0","2.96","0","0.06","0","7","0.96","0","0","0.14","0","1.24","44.44","4.81","42.86","0.41","0.27","0","36.82","83.58","13.6","76.77","5.91","67.44","0.05","0.27","0.14","7.56","76.36","0.82","50","0.27","7.28","79.25","","","0","0","","",""
"Ricardo Phillips","Panama 1.","Plaza Amador","RWF, CF, RW","24","175000","2026-12-31","12","925","4","1.52","0","0.81","Panama","left","170","no","4.71","5.32","70.45","1.81","13.33","0","1.92","0.36","0.18","0","18","2.17","44.44","22.222","1.81","20","5.68","53.19","16.91","39.29","1.93","2.05","0.48","26.34","81.19","5.92","75.51","1.81","46.67","0.1","0.97","0.36","3.5","75.86","3.14","53.85","1.21","3.5","86.21","","","0","0","","",""
"E. Rose","Panama 1.","CD Universitario","LAMF, CF, LW","26","150000","2026-12-31","11","920","5","2.2","0","0.29","Panama","right","183","no","3.95","4.59","58.62","2.21","14.29","0","1.98","0","0.35","0","14","2.21","21.43","7.143","2.21","50","5.69","69.44","15.98","53.47","2.53","2.85","0.79","25.31","76.88","7.91","66","3.95","64","0.05","0.63","0.47","4.59","62.07","3.16","40","0.47","5.22","87.88","","","0","0","","",""
"J. García","Panama 1.","Veraguas","RB, RCB","24","0","","12","917","0","0.07","0","0","Panama","","0","no","9.32","7.75","58.23","4.02","56.1","0.39","6.54","0","0.01","0","3","0.29","66.67","0","0.59","33.33","0.49","40","1.96","25","0.2","0.2","0","19.14","69.74","12.56","65.63","5.69","56.9","0","0","0","4.71","64.58","0.59","50","0.1","6.67","72.06","","","0","0","","",""
"U. Maltez","Panama 1.","UMECIT","RCMF, AMF","23","0","","16","902","0","1.37","0","0.48","Panama","right","175","no","7.13","6.91","58.73","3.4","29.03","0","5.09","0","0.15","0","13","1.43","23.08","0","0.99","22.22","1.64","33.33","6.25","38.6","1.64","1.21","0.22","26.64","78.19","7.34","59.7","1.86","47.06","0.05","0.11","0.22","4.71","58.14","1.21","36.36","0.22","2.96","81.48","","","0","0","","",""
"J. Forero","Panama 1.","Plaza Amador","RCMF, DMF, RDMF","25","0","","13","897","0","0.37","0","0.01","Colombia","","0","no","11.44","10.94","62.39","3.31","60.61","0.3","7.01","0","0.04","0","4","0.4","0","0","0.1","0","0.6","83.33","5.12","43.14","0.7","0.5","0","35.92","86.03","11.34","72.57","3.01","36.67","0","0.1","0.1","5.52","69.09","0.6","33.33","0.5","5.62","71.43","","","0","0","","",""
"R. Peralta","Panama 1.","Sporting San Miguelito","LCB","32","125000","2026-12-31","9","889","0","0.27","0","0.12","Panama","left","182","no","7.66","4.39","71.79","3.49","48.39","0.56","6.03","0","0.03","0","8","0.9","50","0","0.11","100","0.23","0","1.46","38.46","0.11","0.11","0","26.36","80.34","16.11","74.13","8.45","62.67","0.01","0.11","0","5.74","74.51","0.9","50","0.45","8.34","77.03","","","0","0","","",""
"Joseba Beitia","Panama 1.","UMECIT","AMF, LCMF, RCMF","35","75000","","11","887","0","0.28","1","0.66","Spain","left","182","no","5.66","5.52","61.54","1.7","41.67","0.14","3.31","0","0.04","0","6","0.85","16.67","0","0.99","42.86","1.27","44.44","5.52","33.33","0.57","0.85","0","38.49","90.81","14.58","84.47","1.27","66.67","0.09","0","0","7.08","90","1.56","36.36","0.14","7.78","94.55","","","0","0","","",""
"S. Baptista","Panama 1.","Herrera","GK","28","100000","","9","887","0","0","0","0","Panama","","0","no","2.13","0.2","100","0.41","75","0","2.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.1","83.45","9.33","75","8.32","71.95","0","0","0","3.25","65.63","0.1","0","0","6.39","84.13","0.81","3.65","77.78","1.03","2.16","0.219","2.33"
