"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"F. Maglica","Croatia 1.","Varaždin","RB, RWB","28","300000","2027-05-31","9","672","0","3","Croatia","right","190","7.37","5.89","79.55","1.47","54.55","0","3.33","3.21","0","0","0","0.27","50","0","4.42","30.3","3.08","56.52","6.56","46.94","0.54","2.68","0.54","37.9","73.85","13.66","66.67","4.69","57.14","0.17","0","0.13","0","0.8","4.55","73.53","4.02","36.67","0.27","9.38","67.14"
"O. Petrusenko","Croatia 1.","Osijek","LDMF, RDMF, CF","27","1000000","2026-06-30","10","672","0","2","Ukraine","right","181","12.72","10.31","64.94","2.14","31.25","0.27","7.31","0.27","0","0.01","0","0.4","33.33","0","0.13","0","0.27","50","5.76","34.88","0.13","0.13","0","40.31","90.37","12.32","85.87","3.08","95.65","0.09","0","0","0","0.27","6.7","92","0.4","66.67","0.27","7.1","73.58"
"K. Çalhanoğlu","Croatia 1.","Vukovar","LB","23","400000","","7","644","0","0","Germany","left","180","9.78","5.03","66.67","1.4","30","0.14","6.89","2.24","0","0.01","0","0.56","75","0","3.63","34.62","1.54","36.36","2.66","31.58","0.42","1.68","0.28","31.44","65.78","15.93","61.4","6.01","41.86","0.06","0","0","0","0.42","3.91","53.57","3.07","40.91","0.14","9.22","62.12"
"L. Vrbančić","Croatia 1.","Osijek","RDMF, AMF, RCMF","20","0","2028-06-30","8","627","0","0","Croatia","right","0","11.34","10.48","63.01","1","0","0","4.66","0.72","0","0.08","0","1.44","0","0","0.14","100","1.44","40","7.03","46.94","1.29","1.72","0.57","42.78","84.56","13.64","72.63","3.3","60.87","0.03","0","0","0","0.14","6.89","77.08","1.29","66.67","0.86","6.32","79.55"
"Iker Almena","Croatia 1.","Hajduk Split","RAMF, RW, LWB","21","0","","8","614","1","0","Spain","left","176","4.25","3.96","59.26","0.29","50","0.15","2.56","2.93","0.15","0.15","0","1.61","54.55","9.091","1.47","20","2.79","57.89","8.06","40","3.37","2.35","0.15","24.04","78.05","5.57","65.79","1.32","44.44","0.13","0.15","0.29","50","0.44","1.61","81.82","3.52","62.5","2.35","3.81","69.23"
"S. Radeljić","Croatia 1.","Rijeka","LCB","28","2000000","2026-06-30","7","613","0","0","Bosnia and Herzegovina","left","201","9.25","5.14","68.57","4.99","52.94","0.44","6.98","0.29","0","0.01","0","0.15","0","0","0.44","0","0.44","66.67","1.47","70","0.59","0.73","0","45.22","80.52","19.53","67.67","5.87","35","0","0","0","0","0","7.78","56.6","1.91","15.38","0.29","7.78","66.04"
"A. Rebić","Croatia 1.","Hajduk Split","LAMF, CF, LW","32","2200000","","9","612","1","1","Croatia","right","185","5","5.44","43.24","3.82","46.15","0.15","3.93","4.41","0.15","0.28","0","2.35","43.75","6.25","2.79","31.58","3.97","59.26","12.35","41.67","5.29","2.21","0.29","23.53","66.25","5.74","58.97","1.47","60","0.28","0","0.15","100","0.74","1.76","66.67","3.24","63.64","2.21","4.41","80"
"A. Hoxha","Croatia 1.","Dinamo Zagreb","LWF, LAMF, LW","27","1800000","2027-06-19","11","605","3","1","Kosovo","right","185","3.42","3.72","68","0.89","50","0","1.28","5.5","0.45","0.16","0","2.53","35.29","17.647","2.23","26.67","7.14","56.25","18.45","41.94","4.61","5.36","0.74","21.72","82.88","2.68","83.33","0","0","0.15","0","0","0","0.15","1.04","100","2.23","73.33","1.04","2.83","73.68"
"V. Rozic","Croatia 1.","Istra 1961","LAMF, LWF, LW","22","0","","9","594","0","0","Croatia","right","0","3.48","4.09","48.15","2.42","25","0","1.31","3.48","0","0.22","0","1.82","16.67","0","2.12","14.29","3.79","76","9.09","48.33","2.58","2.27","0.3","21.97","74.48","4.39","62.07","1.21","37.5","0.04","0","0","0","0.3","0.91","83.33","1.36","33.33","0.45","3.18","47.62"
"Š. Mikolčić","Croatia 1.","Osijek","RDMF, AMF, RCMF","21","150000","2026-06-30","12","585","2","0","Croatia","left","0","5.85","5.38","62.86","2.62","58.82","0.15","3.58","0.92","0.31","0.14","0","2","23.08","15.385","0.77","40","0.62","25","5.85","44.74","1.38","0.92","0.15","27.08","77.27","9.38","57.38","3.08","45","0.05","0.15","0.15","0","0","5.54","66.67","1.23","25","0.15","5.08","57.58"
