"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"M. Nagy","Slovakia 1.","Skalica","RDMF, RCMF","35","50000","","26","2134","4","0","Slovakia","right","176","7.09","5.48","57.69","1.14","40.74","0.42","4.77","0.97","0.17","0.03","0","0.89","33.33","19.048","0.51","33.33","0.8","52.63","4.18","52.53","0.42","1.14","0.21","33.7","82.6","13.54","75.08","4.01","52.63","0.05","0","0.08","100","0.13","5.69","77.04","1.1","69.23","0.63","5.86","74.1"
"M. Ďuriš","Slovakia 1.","Spartak Trnava","CF","37","150000","","30","2129","4","2","Slovakia","right","183","2.33","2.96","47.14","5.79","31.39","0.04","0.93","1.44","0.17","0.37","0","1.56","59.46","10.811","0.3","28.57","0.8","52.63","7.23","28.07","3.21","0.51","0","15.13","83.8","1.82","69.77","0.34","75","0.07","0.04","0.04","0","0.21","1.18","82.14","0.63","73.33","0.8","1.18","75"
"G. Kashia","Slovakia 1.","Slovan Bratislava","RCB, CB","38","250000","2026-06-30","26","2107","2","0","Georgia","right","185","9.57","5.17","75.21","4.19","60.2","0.56","7.96","0.21","0.09","0.06","0.04","0.43","50","20","0.04","0","0.04","0","1.32","38.71","0.47","0.68","0.09","59.93","91.02","25.46","84.73","5.51","63.57","0.01","0","0","0","0.04","6.71","79.62","0.56","30.77","0.17","9.74","74.56"
"I. Mensah","Slovakia 1.","Dukla Banská Bystrica","RCB","21","0","","23","2082","2","0","Ghana","right","190","12.15","7.78","72.78","5.84","63.7","0.56","6.84","0.65","0.09","0.04","0","0.26","83.33","33.333","0.61","21.43","0.48","63.64","1.99","52.17","0.39","0.61","0.09","40.85","78.41","19.24","67.42","5.71","43.94","0.01","0","0.04","0","0.04","6.61","58.82","1.34","25.81","0.13","9.34","61.57"
"G. Niarchos","Slovakia 1.","FC Košice","CF, LWF","23","250000","2026-06-30","29","2075","8","3","Greece","right","188","5.38","7.2","53.01","6.07","42.14","0.17","2.01","3.12","0.35","0.51","0.09","2.6","38.33","13.333","0.35","62.5","3.21","56.76","13.23","38.36","4.34","1.43","0.26","13.71","80.06","1.78","60.98","0.56","53.85","0.11","0","0.09","100","0.61","0.82","68.42","0.91","61.9","0.95","1.52","65.71"
"S. Štefánik","Slovakia 1.","Podbrezová","AMF, RCMF, LCMF","33","150000","2026-06-30","27","2071","3","6","Slovakia","right","177","6.08","4.04","68.82","1.04","25","0.26","4.48","2.3","0.13","0.08","0","1.09","32","12","2","36.96","1.61","67.57","5.69","41.98","1.13","1.56","0.22","33.38","79.43","10.91","66.14","2.74","49.21","0.15","0","0.35","37.5","0.7","5.65","66.92","3.13","47.22","1.22","5.56","79.69"
"A. Ramadan","Slovakia 1.","DAC","LAMF, LCMF","24","450000","","28","2055","11","5","Syria","left","174","5.65","4.47","71.57","1.27","51.72","0","3.25","6.61","0.48","0.36","0.04","3.33","34.21","14.474","2.72","33.87","7.75","56.5","14.19","45.99","3.59","3.15","0.44","30.53","79.48","7.27","68.67","2.98","48.53","0.23","0","0.22","80","0.83","3.55","60.49","2.76","53.97","0.92","4.95","76.99"
"G. Ganbayar","Slovakia 1.","Komárno","RW, LW, LAMF","25","150000","","30","2055","4","4","Mongolia","right","179","7.49","4.86","56.76","8.23","40.96","0.13","5.03","2.8","0.18","0.14","0.04","1.18","48.15","14.815","3.07","28.57","2.45","55.36","7.75","33.33","2.67","1.4","0.09","31.4","69.04","9.24","61.14","2.76","53.97","0.12","0.04","0.09","0","0.53","2.54","56.9","3.55","50.62","1.4","6.09","65.47"
"D. Kružliak","Slovakia 1.","FC Košice","RCB, CB","29","400000","","22","2052","1","0","Slovakia","right","185","7.98","5.79","63.64","3.99","48.35","0.92","5.11","0.57","0.04","0.07","0.04","0.48","27.27","9.091","0.44","50","0.18","100","1.36","41.94","1.01","0.61","0.09","34.87","87.04","14.56","78.92","4.3","63.27","0.01","0","0.04","100","0","5.22","78.15","0.96","68.18","0.48","7.28","74.7"
"M. Kratochvíl","Slovakia 1.","Spartak Trnava","LDMF, LCMF","29","550000","2026-06-30","25","2047","5","4","Czech Republic","right","187","8.66","7.65","59.2","3.34","48.68","0.35","4.14","1.93","0.22","0.23","0.04","2.07","42.55","10.638","0.7","25","1.36","64.52","5.72","44.62","3.87","0.35","0","33.28","79.13","10.86","66.8","3.52","53.75","0.08","0","0","0","0.48","4.44","63.37","1.1","36","0.88","4.35","66.67"
